aggregate_summary.csv
*Note: Trial 1 has been explicitly excluded from this file.

Target Mean Stop Time (steps),3000.0
Target SD of Stop Times (steps),3500.0

Trials with Mean Rock Displacement <= 0,7
Specific Rock Trial IDs,"2, 4, 5, 6, 7, 8, 10"

Trials with Mean BBot Displacement <= 0,2
Specific BBot Trial IDs,"9, 10"

Total Aggregated Trials,9

,Mean of Pooled Rock Displacement (px),-17.63153591013549
,SD of Above (px),191.48530918619414
,Mean of Intra-Run Rock Displacement (px),-17.63153591013549
,SD of Above (px),30.852958675857987

,Mean of Pooled Bbot Displacements (px),20.71730935058663
,SD of Above (px),247.0666316755955
,Mean of Intra-Run Bbot Displacements (px),20.71730935058663
,SD of Above (px),36.80669007054199

,Mean of Pooled Bbot Stop Times (steps),4055.8844444444444
,SD of Above (steps),2611.090177559497
,Mean of Intra-Run Stop Time Means (steps),4055.8844444444444
,SD of Above (steps),345.0367272882378

,Mean of Pooled Bbot Stop Times (s),67.59807407407408
,SD of Above (s),43.51816962599162
,Mean of Intra-Run Stop Time Means (s),67.59807407407408
,SD of Above (s),5.75061212147063


Trial,Duration (steps),Duration (s),Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time (steps),BBot Stop SD (steps),Mean BBot Stop Time (s),BBot Stop SD (s)
2,11086,184.76666666666668,-9.14955032916804,190.30988022141887,57.653700850498076,233.65784071553972,4738.18,2732.364392064208,78.96966666666667,45.53940653440347
3,11001,183.35,44.751604086324704,165.90148939478914,13.719303991636181,188.94126720486852,3698.3,2860.4342630917754,61.638333333333335,47.67390438486292
4,9251,154.18333333333334,-33.63009039593418,136.44378198170483,83.4275817194102,264.61957687870097,3979.36,2616.7741455806977,66.32266666666666,43.61290242634497
5,9673,161.21666666666667,-13.574595975042529,228.12205023307968,28.513527887215105,216.7746286440097,4159.5,2520.893785860848,69.325,42.01489643101413
6,8555,142.58333333333334,-28.822283319586177,123.40728524552976,43.149808428792916,234.21142430686737,3938.08,2500.0639897116757,65.63466666666666,41.667733161861264
7,10553,175.88333333333333,-59.92172151727589,226.25018549070256,1.3670175306609549,273.31297764669114,3618.56,2400.343497187391,60.309333333333335,40.005724953123185
8,8881,148.01666666666668,-45.70562512360716,253.95569964184958,11.629021379959847,270.5365886132591,3842.34,2057.999817635501,64.039,34.299996960591685
9,9912,165.2,8.197799002648065,207.67885503283347,-28.91457491477039,260.19306146240365,4313.28,2683.864948699383,71.888,44.73108247832305
10,12557,209.28333333333333,-20.829359619578188,170.2407402621422,-24.08960271812324,265.57347916464056,4215.36,3033.252654111337,70.256,50.55421090185561
