aggregate_summary.csv

Number of Trials with Mean Rock Displacement <= 0,1
Specific Trials with Mean Rock Displacement <= 0,417

Number of Trials with Mean BBot Displacement <= 0,95
Specific Trials with Mean BBot Displacement <= 0,"3, 7, 9, 12, 48, 49, 91, 105, 137, 149, 152, 153, 171, 196, 206, 218, 225, 228, 240, 242, 252, 259, 271, 275, 276, 286, 307, 322, 334, 336, 341, 346, 351, 361, 371, 413, 423, 432, 439, 472, 475, 480, 498, 507, 518, 526, 532, 533, 543, 553, 566, 579, 599, 604, 606, 617, 626, 650, 652, 676, 698, 699, 707, 719, 720, 721, 722, 729, 731, 754, 761, 774, 778, 786, 787, 794, 805, 815, 821, 822, 827, 865, 873, 883, 897, 917, 933, 945, 949, 959, 961, 967, 971, 972, 983"

Total Trials,1000

,Mean of Pooled Rock Displacement (px),46.47
,SD of Above (px),64.3
,Mean of Intra-Run Rock Displacement (px),46.47
,SD of Above (px),26.2

,Mean of Pooled Bbot Displacements (px),71.16
,SD of Above (px),174.74
,Mean of Intra-Run Bbot Displacements (px),71.16
,SD of Above (px),55.0

,Mean of Pooled Bbot Stop Times (s),14.16
,SD of Above (s),15.12
,Mean of Intra-Run Stop Time Means (s),14.16
,SD of Above (s),11.71


Trial,Duration,Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time,BBot Stop SD
84,27.82,37.96,42.54,31.44,152.01,5.24,5.34
85,74.03,114.88,107.67,195.76,184.05,40.2,12.48
86,43.77,64.34,89.11,79.58,162.24,23.61,10.58
87,7.5,9.15,21.57,4.81,93.68,1.76,1.94
88,46.78,47.61,74.33,94.5,202.88,16.88,15.58
89,21.15,18.29,23.64,12.23,133.74,4.13,5.65
90,18.0,54.55,64.39,51.26,168.74,7.62,5.79
91,12.32,15.9,38.76,-3.39,165.59,5.65,3.48
92,45.77,125.79,108.72,155.66,193.89,30.9,11.44
93,37.65,35.09,57.65,36.16,136.04,11.56,11.04
94,22.17,19.86,36.4,28.28,150.04,5.63,6.58
95,18.27,34.07,39.86,60.79,151.59,6.84,6.7
96,17.78,36.97,30.03,89.48,177.19,8.45,5.82
97,26.52,89.75,112.56,73.61,175.99,11.88,7.35
98,35.2,27.3,34.03,6.36,209.52,18.84,11.2
99,29.35,76.27,60.69,81.13,203.22,15.03,8.64
100,15.03,19.28,44.42,8.93,153.7,5.41,4.92
101,11.4,11.31,27.71,21.41,136.79,3.44,3.25
102,21.43,37.05,50.06,70.67,170.79,9.61,7.7
103,45.83,32.3,38.5,81.6,166.14,11.62,10.88
104,22.75,40.86,41.61,65.92,135.04,9.08,7.25
105,23.03,6.6,15.97,-51.57,117.31,4.52,5.18
106,84.25,75.33,68.63,146.93,201.94,52.66,26.16
107,17.62,16.55,34.87,62.21,163.72,4.73,4.63
108,27.02,71.72,60.61,127.13,172.02,9.01,5.84
109,20.12,43.69,78.74,76.94,119.95,8.13,6.31
110,22.63,39.1,47.49,79.77,147.73,7.67,6.39
111,18.7,43.15,77.88,20.62,222.99,7.33,5.24
112,23.33,66.74,65.24,105.75,127.21,9.0,6.56
113,58.35,75.16,81.79,91.53,161.64,28.13,16.75
114,21.48,43.73,47.7,60.03,207.92,8.42,5.95
115,93.85,85.38,66.71,134.04,176.72,62.11,27.69
116,38.08,42.82,71.6,109.98,153.4,21.72,12.13
117,50.35,99.85,84.69,118.96,134.45,22.23,14.25
118,21.4,17.37,34.06,22.07,110.31,6.68,6.37
119,39.22,58.37,49.62,138.83,163.98,21.91,13.48
120,44.58,68.75,77.83,85.31,171.98,31.22,13.32
121,57.48,73.43,61.3,114.55,170.26,26.57,18.62
122,40.57,44.56,48.59,105.51,145.68,16.32,13.16
123,31.87,80.86,66.9,138.73,154.95,17.13,5.61
124,43.98,28.32,37.47,44.83,149.52,19.87,19.58
125,24.17,24.87,34.11,38.62,149.65,5.91,4.72
126,19.97,45.1,40.83,74.04,131.5,8.74,5.39
127,20.88,60.44,60.75,16.35,181.43,7.18,5.28
128,43.08,57.96,88.79,114.54,180.59,23.97,9.96
129,37.72,42.36,59.78,103.91,198.01,14.72,8.67
130,12.8,23.01,39.73,66.97,170.96,3.9,2.81
131,24.43,50.86,49.5,40.5,143.29,9.63,6.68
132,36.68,69.45,77.56,128.99,172.39,17.19,9.34
133,22.58,43.15,55.79,86.47,170.97,6.01,4.89
134,28.35,47.62,59.21,129.08,208.82,15.05,9.81
135,18.88,39.95,59.96,31.3,174.28,8.57,5.55
136,29.95,22.38,25.82,43.55,168.45,10.34,10.45
137,15.63,15.51,38.38,-7.08,171.08,4.66,4.48
138,52.27,72.38,83.1,91.88,172.85,18.41,12.04
139,40.22,40.45,73.15,108.74,170.73,13.41,11.2
140,41.82,47.15,51.82,124.82,180.27,24.99,11.69
141,40.4,55.37,62.86,94.72,185.67,15.31,11.96
142,37.4,55.0,53.29,51.61,182.07,8.44,7.95
143,29.7,41.35,45.78,146.01,164.5,15.33,9.42
144,20.52,45.0,41.33,67.75,196.19,7.89,5.72
145,45.85,57.57,69.75,105.31,187.24,11.86,6.81
146,23.9,33.81,33.62,39.26,164.16,5.3,5.29
147,96.73,116.42,83.48,182.87,175.29,52.16,27.37
148,46.42,34.89,48.9,93.68,213.0,26.3,15.68
149,10.52,3.03,20.33,-17.71,154.41,4.2,2.82
150,27.45,39.77,44.1,82.64,191.17,9.29,6.84
151,22.4,20.79,40.32,39.57,162.42,5.48,5.21
152,18.4,20.58,36.13,-16.68,163.57,4.67,3.89
153,9.23,4.43,28.56,-3.23,144.46,2.85,2.51
154,93.92,86.52,81.87,101.24,199.52,61.71,19.39
155,25.52,47.66,65.69,35.42,167.09,11.06,8.36
156,43.58,44.89,69.57,133.12,191.46,19.15,13.21
157,49.37,34.85,57.04,88.81,139.24,24.82,16.39
158,101.33,98.34,75.13,181.92,170.05,48.91,27.41
159,29.9,54.3,77.97,70.75,147.21,12.75,9.93
160,45.13,77.13,99.41,98.47,177.18,15.63,10.18
161,15.25,32.18,45.43,68.76,176.21,6.31,3.36
162,59.23,89.52,67.57,218.41,176.2,29.89,12.43
163,26.45,97.76,72.02,151.65,165.82,13.72,6.57
164,11.27,26.45,29.85,15.92,143.63,3.69,2.48
165,18.88,44.55,68.63,30.39,146.63,8.81,6.0
166,24.53,58.35,61.68,87.29,159.56,7.8,5.84
167,25.72,34.06,43.25,107.18,147.58,8.69,7.21
168,26.77,46.72,43.55,59.58,174.35,8.72,6.93
169,35.07,65.21,71.38,109.09,136.32,17.74,12.42
170,74.77,45.2,64.14,155.91,141.17,32.06,19.57
171,17.88,16.72,36.83,-19.99,188.61,8.46,5.89
172,45.3,78.95,94.69,95.4,147.99,18.06,14.11
173,16.63,43.9,55.9,43.4,161.89,5.7,4.69
174,47.72,80.89,80.43,119.91,161.52,23.28,12.25
175,58.22,123.87,76.28,168.27,188.93,31.65,11.73
176,44.17,44.92,74.85,118.14,149.82,19.6,15.87
177,18.9,54.95,58.79,114.45,192.39,10.24,5.85
178,82.67,86.3,99.0,101.05,205.31,41.66,19.93
179,19.3,57.12,56.81,86.48,168.08,6.42,5.31
180,41.12,50.72,62.81,148.55,161.13,24.34,10.47
181,31.57,68.17,59.1,84.0,149.55,15.74,8.28
182,75.4,81.79,69.61,77.39,168.83,30.76,21.57
183,30.73,12.58,45.38,31.8,155.26,6.77,6.04
184,31.72,46.42,68.45,70.0,159.72,14.91,8.15
185,31.02,44.2,44.03,72.37,190.73,14.07,9.68
186,50.8,65.39,59.23,77.29,171.96,16.28,10.49
187,20.02,47.76,53.42,120.72,196.75,11.16,5.52
188,93.73,124.18,95.27,214.71,203.99,65.25,24.64
189,19.98,23.39,23.25,47.67,132.02,4.76,5.34
190,59.63,105.91,87.77,149.82,147.49,25.56,17.6
191,54.12,64.17,55.24,95.98,162.23,35.96,12.29
