aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,"123, 398, 493"
Trials with Mean BBot Displacement <= 0,"19, 33, 46, 48, 52, 72, 74, 76, 90, 109, 129, 139, 144, 148, 159, 160, 184, 196, 210, 228, 250, 252, 269, 283, 291, 299, 310, 331, 362, 365, 367, 395, 398, 417, 468, 473, 478, 483, 493, 502, 525, 528, 537, 546, 553, 557, 578, 584, 597, 604, 639, 641, 643, 645, 648, 649, 663, 672, 683, 702, 718, 728, 746, 761, 768, 810, 826, 849, 863, 870, 928, 932, 946, 965, 971, 988"

Total Trials,1000

,Mean of Pooled Rock Displacement (px),46.83
,SD of Above (px),64.03
,Mean of Intra-Run Rock Displacement (px),46.83
,SD of Above (px),25.03

,Mean of Pooled Bbot Displacements (px),71.22
,SD of Above (px),175.56
,Mean of Intra-Run Bbot Displacements (px),71.22
,SD of Above (px),54.6

,Mean of Pooled Bbot Stop Times (s),14.77
,SD of Above (s),15.88
,Mean of Intra-Run Stop Time Means (s),14.77
,SD of Above (s),12.21


Trial,Duration,Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time,BBot Stop SD
87,34.12,65.72,88.25,143.76,178.0,16.41,9.06
88,22.92,16.71,25.52,51.56,160.03,8.78,7.37
89,33.37,64.47,82.6,138.21,152.8,12.52,10.02
90,14.23,10.63,19.45,-14.1,106.74,4.08,4.54
91,63.38,48.7,71.31,82.41,184.78,36.2,15.73
92,19.1,56.04,71.05,86.83,158.32,9.86,5.08
93,9.33,12.14,33.75,22.33,116.42,2.75,2.17
94,15.55,12.43,34.49,74.11,142.18,5.36,4.23
95,36.75,33.79,43.71,117.68,139.63,13.47,9.15
96,35.35,34.15,57.78,88.63,158.9,11.59,11.29
97,21.85,53.57,69.89,101.74,145.46,8.99,4.29
98,33.47,20.88,43.98,120.11,177.13,11.47,9.99
99,81.93,110.84,89.48,139.21,180.5,34.3,15.91
100,20.32,19.16,40.99,33.43,161.51,8.84,5.83
101,35.92,56.26,72.45,85.22,161.54,17.63,11.75
102,13.85,29.62,42.51,39.22,125.87,4.95,4.22
103,11.7,9.99,34.33,112.58,162.94,6.17,2.86
104,37.7,90.82,76.53,65.7,143.03,17.55,9.67
105,61.87,42.82,41.28,138.79,172.48,22.65,9.72
106,22.5,33.96,58.29,59.79,163.86,6.63,7.56
107,13.27,27.4,40.13,29.29,182.63,4.7,3.5
108,15.85,36.71,49.36,70.57,156.35,4.8,4.73
109,12.98,12.5,31.46,-44.33,153.88,4.8,3.95
110,10.68,26.74,31.57,25.97,154.38,4.42,2.93
111,38.8,17.99,27.79,13.58,184.19,7.53,10.72
112,25.32,49.72,67.18,80.83,177.84,12.39,5.26
113,13.73,27.82,63.27,22.02,162.75,5.54,4.4
114,20.47,29.4,33.69,51.52,157.16,9.72,6.43
115,29.4,52.88,55.71,3.41,156.38,6.6,5.61
116,15.75,36.18,53.39,41.68,203.15,6.19,4.31
117,33.08,13.54,23.59,32.43,143.67,6.15,7.56
118,21.67,41.54,68.46,95.49,148.92,7.26,7.05
119,49.88,80.03,120.78,128.23,177.93,14.66,8.47
120,57.37,86.27,91.5,99.99,182.87,34.95,16.87
121,47.8,35.28,58.92,40.45,126.62,12.23,12.5
122,27.95,49.61,78.71,20.29,153.98,9.22,8.75
123,8.08,-2.76,17.92,32.0,116.34,2.71,2.3
124,75.53,77.34,90.93,133.79,198.57,39.38,23.25
125,19.23,27.16,42.09,7.47,159.99,8.45,6.44
126,40.97,50.68,54.72,135.01,165.22,14.49,13.15
127,29.38,76.51,75.8,123.37,184.38,14.65,7.06
128,43.58,62.44,93.27,68.47,177.24,22.62,13.05
129,14.85,31.66,35.85,-19.58,175.02,5.44,3.56
130,23.57,29.91,32.69,46.2,184.79,11.93,8.03
131,25.43,61.91,71.76,80.46,171.19,13.85,6.37
132,51.37,81.56,65.63,125.34,193.58,18.33,14.45
133,20.45,24.13,35.9,36.33,165.83,6.82,4.59
134,15.1,31.06,39.97,18.94,126.06,5.01,3.58
135,70.68,95.04,65.13,159.17,187.09,44.92,20.71
136,52.73,50.63,61.45,108.89,180.93,41.24,11.88
137,59.22,100.07,84.86,128.92,189.2,34.56,11.82
138,19.73,25.61,42.78,46.79,180.64,8.84,5.79
139,15.88,6.88,20.65,-18.14,137.16,5.35,4.48
140,28.55,48.58,61.2,55.79,145.49,8.49,7.94
141,43.8,86.76,93.45,121.08,154.6,22.25,14.37
142,30.85,39.17,66.61,101.95,195.05,16.52,10.62
143,65.9,74.73,65.64,99.41,228.04,42.74,16.28
144,19.0,8.9,19.03,-57.95,151.2,4.47,3.9
145,23.07,36.16,45.16,19.4,126.61,8.43,6.43
146,26.22,41.94,60.27,36.69,204.52,11.16,5.76
147,47.43,45.95,53.86,90.38,177.77,22.28,17.46
148,34.65,40.76,79.07,-1.86,151.46,14.59,9.01
149,61.77,72.57,73.22,72.83,127.22,27.26,17.75
150,41.55,102.45,132.38,86.01,174.77,17.39,13.74
151,41.93,44.79,55.39,94.52,144.99,19.17,13.92
152,45.17,40.41,44.2,102.6,166.96,18.75,12.72
153,35.37,48.41,58.65,157.94,222.46,13.17,10.0
154,25.38,36.93,43.3,28.39,228.32,8.87,6.32
155,12.1,38.25,48.6,26.21,166.81,6.26,2.73
156,56.22,19.91,41.34,53.75,182.13,20.84,21.85
157,66.57,61.42,60.43,147.25,181.63,44.87,15.32
158,35.47,66.24,63.95,61.36,191.89,10.95,10.67
159,22.93,48.8,65.91,-18.15,171.72,10.31,6.3
160,13.48,28.9,36.67,-38.16,197.89,5.02,3.9
161,45.27,60.01,75.95,79.23,162.61,14.4,12.76
162,33.52,77.94,84.57,63.24,181.52,17.89,10.11
163,21.02,54.22,62.71,96.58,168.44,8.34,6.31
164,29.28,47.5,60.09,45.71,133.88,9.86,8.24
165,17.02,23.54,38.64,15.38,173.27,6.82,4.24
166,73.73,76.65,71.15,119.01,169.88,47.83,24.1
167,25.82,26.59,43.81,75.65,155.39,8.17,6.33
168,39.0,56.33,72.42,83.22,150.95,11.14,10.19
169,70.45,39.17,39.91,21.66,186.19,33.49,26.39
170,44.28,75.04,85.36,144.15,155.83,19.22,14.47
171,20.07,35.62,65.1,83.43,176.01,11.86,5.16
172,37.22,34.72,50.38,50.98,144.96,13.66,12.18
173,74.52,85.61,65.45,172.5,180.74,28.42,13.03
174,22.9,49.47,63.47,63.9,187.83,11.84,6.67
175,23.98,77.07,80.41,133.3,174.72,11.2,5.98
176,29.65,48.84,59.91,130.29,172.67,12.39,9.25
177,48.95,63.4,96.33,153.55,187.08,28.62,10.62
178,15.33,52.78,67.53,65.96,128.25,7.03,4.38
179,125.52,117.19,112.7,134.73,163.41,53.68,37.36
180,32.52,39.36,64.78,97.07,159.57,12.47,8.12
181,52.6,98.95,104.74,156.04,170.18,21.87,10.79
182,10.92,19.33,38.67,8.77,141.54,3.74,3.19
183,37.2,59.76,73.97,131.04,196.19,23.98,10.23
184,33.65,22.59,47.71,-69.9,198.55,5.31,6.04
185,22.68,89.02,104.94,113.44,149.35,11.95,6.59
186,32.62,45.58,44.59,104.43,164.21,10.33,9.89
187,45.92,33.58,49.25,39.6,216.14,19.78,14.32
188,34.93,56.87,47.03,149.9,164.11,12.89,10.3
189,13.25,23.51,28.31,57.81,143.08,4.21,4.24
190,27.9,41.02,56.23,102.53,175.12,11.73,6.23
191,66.73,100.64,110.33,220.43,168.64,35.21,12.96
192,38.87,62.27,52.5,64.16,167.38,13.37,6.66
193,46.37,70.44,64.08,193.0,156.76,20.81,8.85
194,41.22,64.79,52.37,96.33,186.07,17.2,12.99
195,44.95,68.24,74.75,168.16,184.87,21.87,12.49
196,30.2,25.4,31.39,-30.9,181.38,7.3,7.64
197,31.03,32.65,47.84,102.02,169.15,14.61,8.87
198,20.17,16.62,33.02,58.45,168.78,10.38,6.28
199,10.98,23.31,36.91,3.62,141.92,4.75,3.19
200,26.98,26.42,34.23,60.54,148.23,8.08,8.07
201,24.0,32.56,49.52,91.64,166.45,9.02,7.86
202,35.53,91.55,92.95,152.06,154.39,24.08,9.01
203,42.18,50.1,48.02,170.0,169.76,12.68,8.16
204,114.55,69.13,81.18,156.16,164.66,53.77,29.44
205,19.48,48.51,45.79,74.47,158.64,7.54,5.04
206,15.35,18.85,42.33,2.2,166.35,4.2,4.11
207,33.12,59.75,82.47,93.75,165.45,14.0,9.6
208,9.43,18.79,46.38,27.01,147.62,3.74,2.85
209,24.65,31.9,45.48,37.88,174.2,6.34,6.23
210,20.72,24.55,29.12,-23.97,116.78,5.31,5.04
211,106.77,69.17,61.94,146.49,162.54,76.64,30.6
212,26.92,39.15,48.79,3.07,127.29,9.45,7.32
213,23.22,58.2,44.78,129.06,137.63,12.41,5.53
214,21.65,35.81,47.13,45.05,156.81,5.06,4.87
215,17.7,61.56,48.69,46.72,108.65,7.97,5.87
216,30.03,70.8,78.34,81.16,164.36,23.82,6.62
217,110.88,126.66,83.46,241.6,167.38,89.35,28.21
218,24.25,43.63,39.43,65.35,210.57,14.09,6.39
219,49.05,77.23,88.02,134.57,162.32,29.22,10.99
220,26.97,67.94,71.55,70.47,149.27,15.9,8.3
221,21.15,27.47,35.37,86.15,186.07,8.49,6.17
222,34.8,65.7,59.02,98.36,176.94,12.09,9.98
223,36.62,60.57,64.59,131.23,165.24,17.2,11.24
224,27.6,15.44,19.62,15.21,152.26,6.87,5.6
225,22.7,13.33,26.95,0.37,109.34,3.21,4.44
226,28.35,17.68,26.98,23.55,149.12,9.39,9.28
227,54.9,83.68,102.75,130.38,192.19,30.64,12.22
228,26.5,18.61,39.12,-5.47,151.24,8.05,6.2
229,15.38,23.27,44.1,29.68,138.38,4.71,4.25
230,24.32,66.18,87.64,98.49,167.7,15.81,6.83
231,12.9,22.46,23.67,33.69,114.51,4.54,4.48
232,8.08,28.0,40.01,0.02,150.59,3.51,2.39
233,30.95,27.02,35.19,22.04,135.59,5.94,6.98
234,8.98,21.64,41.11,23.42,121.21,3.96,2.43
235,70.95,46.93,76.3,128.02,179.25,29.66,15.79
236,37.67,78.81,98.17,177.06,181.29,24.97,9.56
237,52.27,75.78,69.67,164.15,174.34,26.68,15.29
238,10.23,21.24,32.21,47.09,129.49,3.39,2.3
239,16.87,9.3,22.36,24.41,163.01,5.18,5.15
240,31.9,36.71,44.02,64.05,146.57,12.19,10.13
241,69.88,58.1,73.04,142.07,168.51,41.74,25.36
242,18.4,38.41,37.61,27.78,149.29,5.03,5.46
243,36.52,70.97,57.35,115.61,194.99,20.53,13.01
244,21.92,20.74,32.69,65.98,165.12,8.22,7.17
245,30.35,52.5,59.64,84.74,181.14,16.18,9.2
246,19.2,7.31,32.61,67.5,155.47,6.55,5.99
247,51.82,39.37,60.49,67.93,201.05,16.16,10.27
248,62.22,68.44,70.09,151.43,169.75,17.96,17.53
249,18.1,36.52,52.21,27.87,172.51,8.15,6.44
250,22.48,44.34,52.02,-3.17,142.11,7.44,5.54
251,38.78,61.89,67.52,68.99,189.52,12.99,9.41
252,17.65,18.72,43.74,-27.2,173.27,4.23,3.46
253,38.77,54.2,51.56,73.2,179.87,18.0,13.1
254,18.7,26.8,44.62,29.72,146.0,7.16,5.56
255,33.53,82.12,93.71,107.37,133.2,19.56,10.82
256,12.32,60.76,64.73,31.56,192.78,5.88,3.69
257,78.97,61.83,88.03,145.96,191.62,42.51,17.21
258,25.95,31.54,48.66,107.85,167.67,11.5,8.67
259,34.88,33.55,64.4,100.45,181.34,9.93,10.62
260,33.62,111.65,91.71,116.35,219.14,24.72,7.26
261,50.87,33.15,59.43,37.73,138.77,12.4,7.85
262,20.52,49.72,75.63,42.61,200.15,10.0,5.85
263,23.07,43.74,49.91,33.86,179.26,10.38,7.32
264,19.23,72.4,92.62,154.6,208.44,11.6,2.74
265,14.02,20.39,30.89,70.76,150.15,4.39,3.41
266,20.12,25.3,39.76,8.35,144.84,7.21,6.13
267,19.85,29.22,37.25,48.25,146.16,7.29,6.49
268,63.12,65.05,67.79,208.13,152.97,20.55,14.19
269,17.8,10.03,16.21,-37.7,117.38,4.26,4.93
270,34.02,67.56,75.01,108.33,203.83,20.14,10.76
271,29.52,44.43,51.5,17.48,151.25,15.19,10.01
272,23.47,29.44,39.94,74.9,194.37,10.06,7.34
273,46.62,56.88,49.91,29.42,169.92,25.77,14.64
274,22.48,50.78,49.89,4.09,187.49,12.66,6.18
275,22.82,28.06,64.22,59.84,165.05,9.47,7.46
276,19.0,35.07,53.88,42.66,185.4,6.43,5.08
277,18.03,35.05,28.69,57.26,123.01,7.48,6.24
278,17.65,41.36,53.57,93.64,178.81,8.7,5.34
279,22.42,25.68,39.13,10.86,151.84,7.15,6.01
280,26.32,47.52,70.93,57.72,158.05,12.02,7.79
281,21.62,46.18,41.24,59.64,152.69,10.63,6.96
282,17.72,27.0,77.61,102.57,181.99,7.19,3.82
283,14.13,13.92,40.28,-19.44,195.4,5.48,4.01
284,19.9,50.02,62.02,48.05,181.5,9.1,4.21
285,22.55,33.79,48.49,10.12,162.63,7.07,6.9
286,27.67,57.51,54.15,121.01,184.79,12.58,5.95
287,31.53,65.78,70.23,29.67,191.38,20.4,7.36
288,87.92,116.02,93.0,234.83,186.66,53.19,24.75
289,38.27,67.06,58.9,68.26,175.48,23.44,11.26
290,42.2,69.36,66.47,116.85,174.82,26.91,10.85
291,17.72,26.89,49.57,-8.48,176.11,7.41,5.68
292,25.9,34.59,59.84,74.72,183.47,13.95,6.83
293,25.97,40.42,78.01,35.61,139.48,7.34,7.4
294,15.52,47.13,63.57,20.24,196.2,7.9,3.37
295,20.7,37.31,49.8,67.12,190.75,7.42,5.33
296,29.82,51.73,57.53,8.73,194.5,16.48,10.19
297,15.33,47.85,58.43,27.5,155.71,5.88,4.63
298,42.33,35.56,54.27,51.82,161.97,18.9,15.23
299,22.28,28.26,34.36,-35.72,184.08,8.25,6.33
300,28.37,44.03,62.56,71.32,167.76,8.7,6.93
301,12.48,26.41,28.32,32.85,180.58,6.8,2.86
302,10.15,35.58,44.8,25.94,177.42,3.06,2.14
303,9.35,26.5,42.74,25.81,159.62,2.9,2.48
304,41.42,34.09,50.45,26.9,138.12,12.3,9.74
305,36.48,29.12,55.48,26.84,183.15,16.09,9.48
306,97.35,22.49,50.85,81.06,152.63,32.91,23.63
307,33.23,22.28,40.42,55.22,143.04,7.09,6.39
308,21.22,57.59,48.79,56.32,164.79,10.87,5.56
309,25.03,49.11,62.01,31.79,154.3,8.71,7.45
310,12.62,33.89,46.23,-16.96,158.58,3.84,3.15
311,17.57,27.74,38.6,4.74,181.18,8.14,4.4
