Trial,Step_1000
1,49.55170788682079
2,-1.7540016383880868
3,-16.881523047764293
4,-56.7645960715405
5,25.61075089442821
6,29.520497959392735
7,24.074146567609596
8,22.464888386775762
9,7.193040418111505
10,45.1207014782828
11,-50.48700713108722
12,70.59423712640086
13,93.91519341378458
14,48.01038854695334
15,-19.98904762363412
16,-95.16672300687142
17,42.025174797132564
18,25.28898233190246
19,28.003038925557696
20,-39.67578656596491
21,-59.82917957130201
22,-0.4608069801655567
23,72.08514556059433
24,35.1422847505553
25,32.36507345567798
26,-7.7116240378777
27,-9.376110669527208
28,14.654390843288565
29,-36.40348976147282
30,43.971351585833645
31,40.19942368590691
32,33.73985306937224
33,-49.34089050528613
34,12.740406837258313
35,0.4838847794781884
36,32.661476447115234
37,49.48022497250603
38,-7.274681149056242
39,-10.223759470101209
40,19.914006793871245
41,-28.87458537718299
42,-21.889621531327755
43,-32.05845415441649
44,-22.133391831690215
45,-12.760865894476952
46,-30.704981852192397
47,-11.238495023510767
48,-46.50317392763422
49,43.355373401902824
50,-44.546647851460804
51,1.0115340801221748
52,72.93486654052612
53,-42.96114494639546
54,-25.534664872429584
55,-32.68863241867077
56,-82.27716529206764
57,2.760994140090611
58,52.29920093509162
59,6.624943211070426
60,20.41347846064888
61,58.87784595152599
62,15.977777725674574
63,119.93591092163098
64,-4.514651541830544
65,46.6871292744674
66,17.334032850368335
67,7.300639133787316
68,-47.59327997010043
69,-84.7430695418603
70,-20.155675551380803
71,41.23413988034673
72,-26.10060454742114
73,31.771649563789033
74,44.49184623660642
75,-7.7829557015767605
76,-54.221313957633065
77,29.51076532020469
78,6.807427632305841
79,58.40814645931375
80,-8.702144343089572
81,-19.42123866694519
82,-47.94073671036014
83,7.081887469853416
84,21.043698999756554
85,23.980216046045527
86,2.1684751974329557
87,44.85802788066394
88,12.587128526927675
89,3.979970033577009
90,58.958687009292746
91,-3.965290350449829
92,19.34308154904438
93,-7.573181284252001
94,55.56219321104842
95,10.188369196230417
96,2.0488808018475764
97,65.56027136508766
98,-8.782932806942204
99,69.00433956178684
100,-74.93284181522662
101,10.648922308715926
102,6.167218488760821
103,-15.398390014135481
104,33.5828359780745
105,-42.45117771523592
106,31.953649647877356
107,38.47983396324769
108,-2.828003706968733
109,4.659842245846308
110,22.844852201918272
111,61.30767314696535
112,39.46121156154069
113,-23.808331628349805
114,70.16862836405444
115,15.17413588398584
116,32.760605762704365
117,-6.535330969909998
118,32.548329697229185
119,38.576266218234444
120,41.771309507951834
121,-8.336864633227076
122,-39.159185346389144
123,75.21874839818788
124,56.14905266688761
125,19.08113745717162
126,38.64637079406053
127,62.34490074097492
128,-31.657720985220465
129,-11.496160926358822
130,-3.3322174272150193
131,4.855283726338007
132,58.78538217574399
133,30.964886853191857
134,5.386783144711042
135,-6.754600493573172
136,5.720411167987105
137,41.33203103811833
138,36.44316532418853
139,-16.6618909501612
140,-56.43227650909567
141,-86.64805194525256
142,26.78159712464044
143,4.172487112851149
144,-34.786779629258916
145,-19.678741516920876
146,6.787267493831202
147,65.43364461219619
148,-11.207867315688139
149,30.374628584871587
150,-61.22826009171103
151,-7.8744509111407055
152,-63.12504194700008
153,-122.16281244069992
154,-22.689657971622793
155,9.030795432621082
156,6.664158469103401
157,-44.961933061954824
158,-1.5928490062088998
159,-22.18013438849009
160,-67.63518989145305
161,69.05122084470965
162,-1.6663750728339408
163,-34.97593414887035
164,-34.544367381100436
165,94.10307567210535
166,-28.67473555529066
167,26.739013052362044
168,-11.692109265181536
169,39.89682959948258
170,41.816811482456174
171,-25.8565452782332
172,-29.187239827743916
173,5.090326932506753
174,59.675239026968924
175,17.00614780584131
176,-8.77918500354257
177,14.66445372285065
178,40.39384616310984
179,19.861300165515786
180,-96.83212540295288
181,93.72133131786698
182,-66.4737493778881
183,22.085643595449998
184,79.76588288442477
185,60.66673313993244
186,3.7201526599697856
187,72.3147585269883
188,-5.722502165197864
189,40.37514464540832
190,42.58890012966678
191,5.9193334925301775
192,-14.265023112704654
193,-27.806760278218647
194,20.66684766959833
195,-98.6581007947475
196,35.39610803435385
197,-2.3181572777766006
198,-7.1844822514592135
199,5.948197100903312
200,-4.4235956365457225
201,-31.16705504253558
202,15.33994467591256
203,-46.516341682108845
204,2.549649217950693
205,36.64665994358152
206,8.791296969220022
207,-34.99582224014567
208,-14.16095708840246
209,82.17263203517557
210,16.283310668052422
211,-45.877328339314
212,-31.89461859698049
213,7.750175722663016
214,12.28398789138957
215,35.49785378424108
216,-1.514177026326348
217,-22.475607749652198
218,-8.804622873542044
219,-3.2838466811547358
220,7.022816937996831
221,8.731934231893156
222,-17.272918390938592
223,40.502175611191994
224,-1.0456510153267176
225,-77.83991875262912
226,15.370359622876268
227,-30.56950012909765
228,-15.759572985438433
229,-10.94788382783283
230,-12.978748727117742
231,-101.05216962634816
232,11.091901743550526
233,-59.3870116299323
234,41.05084100188371
235,0.590765015448872
236,-28.21553911279243
237,9.026083934981662
238,-13.957076236424296
239,-47.329283605632455
240,-54.04282850972834
241,24.97545660803465
242,25.353502160749102
243,75.70191855153503
244,53.44636214051834
245,31.48303594962271
246,10.024167854750536
247,15.18949434199829
248,59.61095101929345
249,-21.501070688129914
250,10.892574301685862
251,-12.642395686106836
252,-15.783067488197336
253,-33.74858370148065
254,77.02292181011175
255,6.053631348893154
256,-45.063579680096076
257,20.79252664547088
258,-39.94133616419295
259,22.15665869085476
260,-60.53493644262432
261,81.80204388259683
262,-63.83230521458069
263,10.53851951531141
264,25.55790055936565
265,22.160158315546152
266,10.52936578773327
267,-11.610717263056284
268,60.22267739469106
269,-8.128568169811587
270,5.213933383103741
271,-0.5290689000180734
272,-47.78617663084289
273,-90.50091351406748
274,-93.01146899506982
275,30.405428458808018
276,57.48166339012214
277,87.07180831487376
278,56.992236812033156
279,36.54751198678047
280,-44.09007271580165
281,-28.59004134798588
282,54.07532261247515
283,27.338739069411275
284,12.476766514939062
285,24.379966600364043
286,-8.915956917448266
287,7.195931879284474
288,30.091403067299215
289,20.13554919981256
290,12.342546174741885
291,4.755474610638157
292,-20.901492824672335
293,-23.84875477438638
294,23.745889677510775
295,10.970349648908417
296,26.842664011385075
297,-21.6318773539458
298,-81.31032104599328
299,3.4359955766544443
300,7.607675343919482
301,2.1426863362373254
302,25.244547930478
303,-99.31479476251799
304,4.50695118215692
305,39.13009171158492
306,49.01906033844047
307,-65.48097836697765
308,15.662333611088908
309,-5.245219719499628
310,33.59266643953602
311,-26.07084045356408
312,-38.8259250495561
313,-43.795379865198804
314,29.069054133711276
315,22.841370670467292
316,33.884279491573515
317,-16.410364194835843
318,-19.308632146113432
319,35.59327230329126
320,-17.22575914078717
321,23.408322434766834
322,-7.0528920735461895
323,-20.131167267538583
324,20.298313357389695
325,-7.154471331335207
326,-34.10978179616532
327,60.59750128624648
328,-23.83220066013731
329,-0.3290455627320455
330,22.702628020798176
