Trial,Step_700,Step_1400,Step_2100,Step_2800,Step_3500,Step_4200,Step_4900,Step_5600,Step_6300,Step_7000
1,70.4436526357779,65.44726564448592,63.024741441448064,66.65390542635922,85.20372962874413,102.26980343643207,67.6567643921859,45.95497324842087,70.82040422730111,58.533102606770534
2,-54.29122195373972,-48.08456220485615,-57.199432218451925,-49.763904340847034,-33.47627934838536,-30.281404142378157,-52.94570268240632,-28.01663975647248,-4.059205536137097,-33.44582255499524
3,25.60959349501325,-22.552515539382085,1.1420934811905012,-6.256547159336355,8.013588959443837,-0.8999535801627132,-19.23787977814933,-29.05429986457849,-64.83064513177982,-27.413983425085263
4,-9.455901829953183,47.17730511479477,74.33586059207214,13.781504351534885,47.29161575387353,15.627526867135272,20.024262683837442,68.75423447810468,73.12029462475597,49.5195592035756
5,24.13514131940526,10.90762288104607,16.986939369568542,-13.345398888650937,43.294866501992686,-22.153223557254403,-37.47532633076611,15.11314838441807,-8.315890007804963,24.59359919179405
6,25.79526061098268,-6.602133854439695,29.87113181707914,13.63128291279892,97.67250564467271,-2.764949796535805,38.016954338558584,13.085196870310357,20.894339846409313,20.854896433944628
7,-67.28475873977877,-61.689213511247075,-74.42082006060728,-59.733706725502685,-93.98386965805247,-130.64219247589267,-25.56589238335724,-84.50292181033575,-84.37263061729259,-17.170944832278185
8,16.845351250407738,43.696935203679885,27.39639575661888,62.66314096818191,55.5842578874557,57.26700892470237,49.20615320753429,78.16366407187145,92.416677572006,67.12236710631073
9,19.418400990125203,26.82154431390099,13.839184558667936,28.53583557917836,-6.499636225193836,50.47344496021673,-9.082170878206634,25.98737224232493,22.53189537472547,1.8191733881053083
10,-5.24005505460242,0.16309027433418208,-6.3971556749472285,-22.52994581111165,-66.76510951852134,-2.984441060020859,-40.34931033492126,-11.867810032833805,-25.914082366893595,-16.029736832060408
11,14.170003685529048,10.323446202678303,83.17167815170063,89.1086823182824,37.4772766094199,37.894542336114355,42.87233301546622,25.49301176021487,71.16144765000557,42.497632256086916
