Trial,Step_700,Step_1400,Step_2100,Step_2800,Step_3500,Step_4200,Step_4900,Step_5600,Step_6300,Step_7000
1,40.863875301567134,75.18140512763514,72.06765028286335,94.49292891098258,55.06403478661851,53.05100451361409,10.98439282030441,83.95827339557648,63.082703958636806,58.51196099233805
2,12.886148256356403,19.740355700937343,-5.630722918327403,19.817114209141344,-12.067468941479692,18.724064933392455,33.91198235396558,14.455557287306567,24.56264268295431,25.800957956257456
3,26.085204243646274,45.97258630080902,48.38496277952097,34.655511562273844,76.45195156233052,62.588681597020866,41.239239397971616,47.58344676220399,52.39781976821089,18.382206275100724
4,30.381946430749146,9.509874889078121,-1.7712930616402047,-1.858801203897653,9.038973252806922,-36.20220800084816,53.710370759987754,-52.695288614843285,18.75254832702454,-13.446298887356244
5,12.918336119699267,-24.778568528370336,-3.2857931463558927,1.4102022981210225,2.4281898038250547,-33.156564504299304,-8.481057218113067,56.45125735528718,-23.216178242211495,-3.3238055682453322
6,2.086827006663301,21.59982449220184,-0.007227065195299076,4.125864438021664,53.45170611205261,3.902535876083874,12.5281781657383,6.071605272044036,-35.7866703267754,20.9917555488632
7,-0.5373671417070526,-4.396214125016604,-19.034739191626215,3.884914416492515,-29.003925361699146,-1.606766397354375,-3.0508370576297636,-21.288468109834596,-44.695620319718955,-0.29528713100076515
8,-20.267874349486657,-11.893763742816704,-26.03137619901285,-5.5586053854560475,-29.838021604542973,0.16782016031940544,11.533778293272041,-45.155588709880945,-53.48197653789019,-14.31553025695751
9,-0.3753184678921414,-17.60852221325223,50.110932214660885,3.6104034852259685,-63.66656404504433,4.5889099559452955,23.667919697471426,-8.94007725184557,7.979934392939308,21.54043020982734
10,9.141668877615357,14.96982984786286,3.426267044597,-17.1667007579431,24.34020133182286,37.245407280232655,30.91162549074371,34.64591098595154,35.4481398197796,17.735484197037355

OVERALL MEAN,11.318344627721103,12.829680774906846,11.822866073948434,13.741283197296214,8.619907689669034,10.93028854141068,20.6955592703712,11.50866283719654,4.504334352294941,13.158187333586428
