Group,Final_Clustering_Score,Delta_Score
Active (Stigmergic),0.5184210526315789,0.21315789473684205
Active (Stigmergic),0.5071614583333334,0.18424479166666669
Active (Stigmergic),0.5194049159120311,0.21410090556274258
Active (Stigmergic),0.5006402048655569,0.1933418693982074
Active (Stigmergic),0.5133614627285513,0.22573839662447254
Active (Stigmergic),0.516875,0.193125
Active (Stigmergic),0.5027173913043478,0.21263586956521735
Active (Stigmergic),0.5180180180180181,0.2110682110682111
Active (Stigmergic),0.5216535433070866,0.20734908136482938
Active (Stigmergic),0.4752475247524752,0.18670438472418666
Active (Stigmergic),0.5125827814569537,0.20662251655629144
Active (Stigmergic),0.5032981530343008,0.19986807387862798
Active (Stigmergic),0.49404761904761907,0.2010582010582011
Active (Stigmergic),0.500669344042838,0.18942436412315933
Active (Stigmergic),0.5006605019815059,0.19418758256274765
Active (Stigmergic),0.5048342541436464,0.21892265193370158
Active (Stigmergic),0.5260078023407022,0.24317295188556565
Active (Stigmergic),0.49407114624505927,0.1903820816864295
Active (Stigmergic),0.49540078843626806,0.17082785808147172
Active (Stigmergic),0.501338688085676,0.21352074966532797
Active (Stigmergic),0.5070521861777151,0.22143864598025387
Active (Stigmergic),0.5,0.20121130551816957
Active (Stigmergic),0.5039893617021277,0.20877659574468088
Active (Stigmergic),0.5437415881561238,0.23755047106325705
Active (Stigmergic),0.48717948717948717,0.2031039136302294
Active (Stigmergic),0.4973544973544973,0.19907407407407407
Active (Stigmergic),0.5132802124833997,0.2191235059760956
Active (Stigmergic),0.530949105914718,0.2200825309491059
Active (Stigmergic),0.5114093959731544,0.2134228187919463
Active (Stigmergic),0.5040650406504065,0.21409214092140916
Active (Stigmergic),0.5046052631578948,0.19934210526315793
Active (Stigmergic),0.4951590594744122,0.19294605809128634
Active (Stigmergic),0.47854077253218885,0.19814020028612306
Active (Stigmergic),0.5020215633423181,0.21361185983827496
Active (Stigmergic),0.4937150837988827,0.22067039106145253
Active (Stigmergic),0.49179206566347466,0.2017783857729138
Active (Stigmergic),0.54296875,0.21940104166666669
Active (Stigmergic),0.5108108108108108,0.2135135135135135
Active (Stigmergic),0.5154362416107383,0.21275167785234905
Active (Stigmergic),0.5111402359108781,0.21756225425950193
Active (Stigmergic),0.5154241645244216,0.18059125964010286
Active (Stigmergic),0.5079470198675496,0.19006622516556287
Active (Stigmergic),0.5182432432432432,0.24189189189189186
Active (Stigmergic),0.48567530695770805,0.1800818553888131
Active (Stigmergic),0.48787061994609165,0.19609164420485176
Active (Stigmergic),0.5038314176245211,0.21902937420178803
Active (Stigmergic),0.5133333333333333,0.21666666666666662
Active (Stigmergic),0.5118421052631579,0.21447368421052632
Active (Stigmergic),0.5170299727520435,0.23433242506811985
Active (Stigmergic),0.5123376623376623,0.19935064935064933
Active (Stigmergic),0.5192563081009296,0.2084993359893758
Active (Stigmergic),0.5219072164948454,0.2094072164948454
Active (Stigmergic),0.52088948787062,0.23045822102425878
Active (Stigmergic),0.5164765525982256,0.2027883396704689
Active (Stigmergic),0.5236486486486487,0.23918918918918924
Active (Stigmergic),0.4740082079343365,0.1874145006839945
Active (Stigmergic),0.5298507462686567,0.20833333333333331
Active (Stigmergic),0.5304054054054054,0.23445945945945945
Active (Stigmergic),0.5129251700680272,0.23265306122448975
Active (Stigmergic),0.5163522012578616,0.20314465408805032
Active (Stigmergic),0.5176870748299319,0.21972789115646252
Active (Stigmergic),0.49467376830892146,0.19840213049267647
Active (Stigmergic),0.5302631578947369,0.22302631578947374
Active (Stigmergic),0.5265251989389921,0.21352785145888598
Active (Stigmergic),0.4852941176470588,0.196524064171123
Active (Stigmergic),0.4824561403508772,0.2017543859649123
Active (Stigmergic),0.5013440860215054,0.21841397849462363
Active (Stigmergic),0.5276679841897233,0.21673254281949927
Active (Stigmergic),0.5238095238095238,0.2156462585034014
Active (Stigmergic),0.5047043010752689,0.20497311827956993
Active (Stigmergic),0.5129604365620737,0.22237380627557984
Active (Stigmergic),0.501412429378531,0.21822033898305082
Active (Stigmergic),0.5193075898801598,0.24434087882822902
Active (Stigmergic),0.5179282868525896,0.21580345285524566
Active (Stigmergic),0.5164609053497943,0.22702331961591227
Active (Stigmergic),0.49722991689750695,0.2015235457063712
Active (Stigmergic),0.5178326474622771,0.22016460905349794
Active (Stigmergic),0.5187239944521498,0.23231622746185854
Active (Stigmergic),0.4946879150066401,0.19123505976095617
Active (Stigmergic),0.506896551724138,0.22482758620689658
Active (Stigmergic),0.5168393782383419,0.20790155440414504
Active (Stigmergic),0.5246478873239436,0.2457746478873239
Active (Stigmergic),0.4972260748959778,0.20873786407766992
Active (Stigmergic),0.5203145478374837,0.20904325032765403
Active (Stigmergic),0.5084415584415585,0.1954545454545455
Active (Stigmergic),0.5083655083655083,0.1962676962676962
Active (Stigmergic),0.5019946808510638,0.21409574468085102
Active (Stigmergic),0.48230668414154654,0.182175622542595
Active (Stigmergic),0.4898921832884097,0.2055256064690027
Active (Stigmergic),0.4840277777777778,0.1826388888888889
Active (Stigmergic),0.5021367521367521,0.21581196581196582
Active (Stigmergic),0.5184210526315789,0.21447368421052626
Active (Stigmergic),0.4895287958115183,0.18586387434554974
Active (Stigmergic),0.5135135135135135,0.2189189189189189
Active (Stigmergic),0.5425126903553299,0.22842639593908626
Active (Stigmergic),0.48148148148148145,0.18187830687830686
Active (Stigmergic),0.5060483870967742,0.2123655913978495
Active (Stigmergic),0.5272020725388601,0.23251295336787564
Active (Stigmergic),0.4966261808367072,0.20377867746288802
Active (Stigmergic),0.5223684210526316,0.22894736842105262
Active (Stigmergic),0.5046052631578948,0.20394736842105265
Active (Stigmergic),0.5272727272727272,0.22012987012987006
Active (Stigmergic),0.5006443298969072,0.19072164948453607
Active (Stigmergic),0.5241830065359477,0.20588235294117652
Active (Stigmergic),0.5181347150259067,0.21955958549222793
Active (Stigmergic),0.5156462585034014,0.21972789115646263
Active (Stigmergic),0.508575197889182,0.21174142480211078
Active (Stigmergic),0.5112732095490716,0.20755968169761274
Active (Stigmergic),0.4971751412429379,0.20621468926553677
Active (Stigmergic),0.49734395750332006,0.19057104913678619
Active (Stigmergic),0.5322164948453608,0.22551546391752575
Active (Stigmergic),0.5137254901960784,0.2058823529411764
