Initial_Score,Final_Score,Delta_Score
0.3251612903225806,0.2954838709677419,-0.029677419354838697
0.3156887755102041,0.2844387755102041,-0.03125
0.3122476446837147,0.297442799461642,-0.014804845222072704
0.3100929614873838,0.28087649402390436,-0.029216467463479445
0.26615168539325845,0.26615168539325845,0.0
0.2956403269754768,0.2724795640326976,-0.023160762942779245
0.3022788203753351,0.27211796246648795,-0.03016085790884715
0.30194805194805197,0.2772727272727273,-0.024675324675324684
0.30026990553306343,0.2631578947368421,-0.03711201079622134
0.28958333333333336,0.2604166666666667,-0.029166666666666674
0.28924418604651164,0.25944767441860467,-0.029796511627906974
0.2997364953886693,0.29051383399209485,-0.00922266139657446
0.3270967741935484,0.3032258064516129,-0.023870967741935478
0.3164218958611482,0.2903871829105474,-0.026034712950600836
0.25542691751085383,0.2568740955137482,0.0014471780028943448
0.27493074792243766,0.2659279778393352,-0.009002770083102463
0.30149051490514905,0.2682926829268293,-0.03319783197831977
0.31633986928104574,0.2908496732026144,-0.025490196078431338
0.3038821954484605,0.2797858099062918,-0.024096385542168697
0.31038798498122655,0.29662077596996245,-0.013767209011264103
0.30500658761528326,0.2727272727272727,-0.03227931488801056
0.3045822102425876,0.29110512129380056,-0.01347708894878702
0.28522571819425446,0.26812585499316005,-0.017099863201094412
0.3020408163265306,0.2748299319727891,-0.027210884353741527
0.3072847682119205,0.30132450331125826,-0.00596026490066226
0.29878048780487804,0.27439024390243905,-0.02439024390243899
0.30567081604426005,0.25933609958506226,-0.04633471645919779
0.29973297730307075,0.2750333778371162,-0.02469959946595457
0.28222523744911804,0.28426051560379917,0.0020352781546811305
0.31829896907216493,0.29832474226804123,-0.019974226804123696
0.28817056396148555,0.2799174690508941,-0.008253094910591452
0.31498079385403327,0.29577464788732394,-0.01920614596670933
0.2872777017783858,0.26265389876880985,-0.02462380300957595
0.30838709677419357,0.2767741935483871,-0.031612903225806455
0.2770177838577291,0.26744186046511625,-0.009575923392612873
0.2908232118758435,0.2611336032388664,-0.02968960863697706
0.3149100257069409,0.2969151670951157,-0.017994858611825204
0.3010973936899863,0.2757201646090535,-0.02537722908093276
0.32054455445544555,0.30507425742574257,-0.015470297029702984
0.30335570469798656,0.26174496644295303,-0.04161073825503353
0.29948253557567917,0.2820181112548512,-0.017464424320827954
0.30120481927710846,0.2717536813922356,-0.029451137884872858
0.3220338983050847,0.2685788787483703,-0.053455019556714445
0.2993150684931507,0.2876712328767123,-0.011643835616438392
0.2764456981664316,0.27221438645980256,-0.004231311706629048
0.3100263852242744,0.30474934036939316,-0.00527704485488123
0.29662162162162165,0.2716216216216216,-0.025000000000000022
0.30420054200542007,0.266260162601626,-0.03794037940379408
0.3145478374836173,0.2745740498034076,-0.039973787680209705
0.2864010989010989,0.2541208791208791,-0.03228021978021978
0.3036410923276983,0.27243172951885564,-0.031209362808842678
0.29102384291725103,0.2762973352033661,-0.014726507713884951
0.28435374149659864,0.2938775510204082,0.009523809523809545
0.30971128608923887,0.297244094488189,-0.012467191601049865
0.3307291666666667,0.2858072916666667,-0.044921875
0.28532235939643347,0.27503429355281206,-0.010288065843621408
0.29946164199192465,0.2772543741588156,-0.022207267833109057
0.29172320217096337,0.2700135685210312,-0.02170963364993217
0.2982336956521739,0.28940217391304346,-0.008831521739130432
0.28125,0.28257978723404253,0.0013297872340425343
0.2714285714285714,0.2605442176870748,-0.0108843537414966
0.31036745406824146,0.2874015748031496,-0.02296587926509186
0.28561549100968187,0.2814661134163209,-0.004149377593360981
0.30785123966942146,0.2809917355371901,-0.02685950413223137
0.32672634271099743,0.2966751918158568,-0.030051150895140655
0.3085250338294993,0.2618403247631935,-0.046684709066305785
0.2935222672064777,0.2739541160593792,-0.019568151147098534
0.3015768725361367,0.2818659658344284,-0.019710906701708275
0.3172185430463576,0.2933774834437086,-0.023841059602648984
0.2929634641407307,0.2692828146143437,-0.023680649526386988
0.30120481927710846,0.2791164658634538,-0.02208835341365467
0.2953257790368272,0.2535410764872521,-0.041784702549575115
0.29098360655737704,0.2575136612021858,-0.033469945355191266
0.28431372549019607,0.2738562091503268,-0.010457516339869244
0.2952054794520548,0.27671232876712326,-0.018493150684931514
0.2921646746347942,0.2749003984063745,-0.017264276228419695
0.3034965034965035,0.2755244755244755,-0.02797202797202797
0.31585677749360613,0.29539641943734013,-0.020460358056266004
0.2880886426592798,0.26454293628808867,-0.023545706371191133
0.3005502063273728,0.2723521320495186,-0.0281980742778542
0.3117723156532988,0.29560155239327296,-0.016170763260025867
0.30378096479791394,0.28552803129074317,-0.018252933507170777
0.2979452054794521,0.2691780821917808,-0.02876712328767128
0.31216931216931215,0.2585978835978836,-0.05357142857142855
0.2993421052631579,0.2789473684210526,-0.0203947368421053
0.3024523160762943,0.28678474114441416,-0.015667574931880146
0.31863979848866497,0.29534005037783373,-0.023299748110831242
0.3017241379310345,0.28779840848806365,-0.013925729442970824
0.3132372214941022,0.2870249017038008,-0.02621231979030142
0.28116531165311653,0.2682926829268293,-0.01287262872628725
0.3102739726027397,0.29041095890410956,-0.01986301369863014
0.3229166666666667,0.2786458333333333,-0.04427083333333337
0.322237017310253,0.29094540612516645,-0.031291611185086554
0.28270042194092826,0.2552742616033755,-0.02742616033755274
0.2967914438502674,0.27540106951871657,-0.021390374331550832
0.3075933075933076,0.28635778635778636,-0.02123552123552125
0.3065159574468085,0.3011968085106383,-0.005319148936170193
0.3155149934810952,0.2633637548891786,-0.05215123859191656
0.2910344827586207,0.26827586206896553,-0.022758620689655173
0.27506963788300837,0.25557103064066855,-0.019498607242339816
0.2994791666666667,0.2727864583333333,-0.02669270833333337
0.29446640316205536,0.2740447957839262,-0.020421607378129147
0.3191489361702128,0.2897371714643304,-0.02941176470588236
0.27951153324287653,0.27204884667571233,-0.007462686567164201
0.300531914893617,0.2865691489361702,-0.013962765957446832
0.3006369426751592,0.3006369426751592,0.0
0.3001345895020188,0.2557200538358008,-0.044414535666218
0.2763337893296854,0.2749658002735978,-0.001367989056087593
0.2939972714870396,0.2783083219645293,-0.015688949522510265
0.3009641873278237,0.2741046831955923,-0.026859504132231427
0.29335071707953064,0.27509778357235987,-0.018252933507170777
0.2809917355371901,0.24724517906336088,-0.03374655647382921
0.2806666666666667,0.2946666666666667,0.014000000000000012
0.3240979381443299,0.29059278350515466,-0.03350515463917525
0.30647291941875826,0.28731836195508587,-0.019154557463672395
0.2950138504155125,0.25415512465373963,-0.04085872576177285
0.31125827814569534,0.2900662251655629,-0.021192052980132436
0.29722589167767505,0.285997357992074,-0.011228533685601061
0.3203753351206434,0.289544235924933,-0.03083109919571042
0.28516129032258064,0.29806451612903223,0.01290322580645159
0.29649595687331537,0.28975741239892183,-0.006738544474393537
0.30173564753004006,0.2857142857142857,-0.016021361815754365
0.3054089709762533,0.26517150395778366,-0.04023746701846964
0.29760319573901467,0.29027962716378164,-0.00732356857523303
0.30988593155893535,0.2946768060836502,-0.015209125475285135
0.31059602649006623,0.3086092715231788,-0.0019867549668874385
0.2812071330589849,0.2661179698216735,-0.01508916323731141
0.32509505703422054,0.3041825095057034,-0.020912547528517123
0.29920739762219284,0.2714663143989432,-0.02774108322324964
0.29223433242506813,0.279291553133515,-0.01294277929155313
0.29897567221510885,0.2874519846350832,-0.011523687580025643
0.3165605095541401,0.2917197452229299,-0.024840764331210186
0.29375,0.2875,-0.006250000000000033
0.30859375,0.2903645833333333,-0.018229166666666685
0.29788639365918096,0.28731836195508587,-0.010568031704095093
0.3173076923076923,0.2775641025641026,-0.03974358974358971
0.29880478087649404,0.2788844621513944,-0.01992031872509964
0.3273291925465838,0.2925465838509317,-0.03478260869565214
0.29806451612903223,0.2806451612903226,-0.017419354838709655
0.3116036505867014,0.28748370273794005,-0.02411994784876137
0.2853107344632768,0.24717514124293785,-0.038135593220338965
0.27972027972027974,0.2636363636363636,-0.016083916083916128
0.3056628056628057,0.2805662805662806,-0.025096525096525102
0.2801664355062413,0.24687933425797504,-0.03328710124826628
0.29545454545454547,0.25668449197860965,-0.03877005347593582
0.2962239583333333,0.2903645833333333,-0.005859375
0.2983978638184246,0.26702269692923897,-0.031375166889185624
0.3252184769038702,0.3052434456928839,-0.01997503121098626
0.28335535006605017,0.27873183619550856,-0.004623513870541607
0.3180628272251309,0.2846858638743455,-0.03337696335078538
0.29946164199192465,0.2691790040376851,-0.030282637954239577
0.29504814305364513,0.27097661623108665,-0.024071526822558476
0.296448087431694,0.28688524590163933,-0.009562841530054655
0.29183135704874835,0.2635046113306983,-0.02832674571805005
0.2857142857142857,0.2801120448179272,-0.0056022408963585235
0.28892005610098176,0.26788218793828894,-0.02103786816269282
0.28304405874499333,0.27837116154873165,-0.004672897196261683
0.2862116991643454,0.24860724233983286,-0.03760445682451255
0.33355176933158587,0.28440366972477066,-0.04914809960681521
0.30824607329842935,0.2833769633507853,-0.02486910994764402
0.32444733420026006,0.2893368010403121,-0.03511053315994794
0.2975376196990424,0.24829001367989056,-0.049247606019151846
0.31016042780748665,0.27205882352941174,-0.03810160427807491
0.3038821954484605,0.2784471218206158,-0.025435073627844695
0.3219895287958115,0.2951570680628272,-0.026832460732984287
0.3301158301158301,0.28442728442728443,-0.04568854568854569
0.3045212765957447,0.28523936170212766,-0.019281914893617025
0.32225063938618925,0.29539641943734013,-0.026854219948849123
0.31047865459249674,0.29689521345407505,-0.013583441138421692
0.3048128342245989,0.27205882352941174,-0.032754010695187186
0.28859060402684567,0.276510067114094,-0.012080536912751683
0.30303030303030304,0.2733860342555995,-0.029644268774703553
0.2954847277556441,0.28818061088977426,-0.007304116865869847
0.3048780487804878,0.2913992297817715,-0.01347881899871628
0.3234552332912989,0.27994955863808324,-0.04350567465321564
0.30440587449933243,0.2803738317757009,-0.02403204272363152
0.31704260651629074,0.29949874686716793,-0.017543859649122806
0.30013831258644535,0.2517289073305671,-0.04840940525587828
0.3002645502645503,0.27380952380952384,-0.026455026455026454
0.3083756345177665,0.29251269035532995,-0.015862944162436554
0.3051181102362205,0.270997375328084,-0.034120734908136496
0.3215661103979461,0.2913992297817715,-0.030166880616174563
0.30080753701211305,0.265814266487214,-0.034993270524899034
0.2652050919377652,0.25954738330975957,-0.005657708628005631
0.3258426966292135,0.29213483146067415,-0.03370786516853935
0.2918956043956044,0.2706043956043956,-0.021291208791208827
0.3113577023498694,0.28263707571801566,-0.028720626631853763
0.30589022757697454,0.26305220883534136,-0.04283801874163318
0.308974358974359,0.2955128205128205,-0.01346153846153847
0.3114209827357238,0.2861885790172643,-0.025232403718459473
0.2979591836734694,0.2816326530612245,-0.016326530612244927
0.30613577023498695,0.2793733681462141,-0.02676240208877284
0.30193548387096775,0.29161290322580646,-0.010322580645161283
0.3076923076923077,0.28050397877984085,-0.027188328912466864
0.28885832187070154,0.2737276478679505,-0.015130674002751032
0.306,0.276,-0.02999999999999997
0.3,0.28413793103448276,-0.01586206896551723
0.30240320427236317,0.2850467289719626,-0.017356475300400576
0.28190743338008417,0.26788218793828894,-0.014025245441795231
0.29634831460674155,0.2654494382022472,-0.030898876404494346
0.28205128205128205,0.26045883940620784,-0.021592442645074206
