Group,Clustering_Score
Active (Stigmergic),0.5310391363022942
Active (Stigmergic),0.5
Active (Stigmergic),0.512258064516129
Active (Stigmergic),0.5
Active (Stigmergic),0.4910344827586207
Active (Stigmergic),0.5020380434782609
Active (Stigmergic),0.49933862433862436
Active (Stigmergic),0.5110650069156293
Active (Stigmergic),0.508298755186722
Active (Stigmergic),0.5221476510067115
Active (Stigmergic),0.4972027972027972
Active (Stigmergic),0.5103626943005182
Active (Stigmergic),0.522
Active (Stigmergic),0.5189606741573034
Active (Stigmergic),0.5
Active (Stigmergic),0.49932614555256066
Active (Stigmergic),0.48783783783783785
Active (Stigmergic),0.5146471371504661
Active (Stigmergic),0.5163398692810458
Active (Stigmergic),0.481358189081225
Active (Stigmergic),0.496617050067659
Active (Stigmergic),0.5006711409395973
Active (Stigmergic),0.5222513089005235
Active (Stigmergic),0.5054794520547945
Active (Stigmergic),0.5227586206896552
Active (Stigmergic),0.5402227722772277
Active (Stigmergic),0.5290771175726928
Active (Stigmergic),0.5164257555847569
Active (Stigmergic),0.4959731543624161
Active (Stigmergic),0.5315068493150685
Active (Stigmergic),0.4922535211267606
Active (Stigmergic),0.5064194008559201
Active (Stigmergic),0.5397350993377483
Active (Stigmergic),0.522911051212938
Active (Stigmergic),0.5248655913978495
Active (Stigmergic),0.5194805194805194
Active (Stigmergic),0.5140056022408963
Active (Stigmergic),0.49525101763907736
Active (Stigmergic),0.4939759036144578
Active (Stigmergic),0.5107095046854083
Active (Stigmergic),0.48360655737704916
Active (Stigmergic),0.5182291666666666
Active (Stigmergic),0.5113941018766756
Active (Stigmergic),0.524966261808367
Active (Stigmergic),0.49867021276595747
Active (Stigmergic),0.5299202127659575
Active (Stigmergic),0.4883401920438957
Active (Stigmergic),0.5279947916666666
Active (Stigmergic),0.5228426395939086
Active (Stigmergic),0.521497919556172
Active (Stigmergic),0.5098944591029023
Active (Stigmergic),0.5083762886597938
Active (Stigmergic),0.5142857142857142
Active (Stigmergic),0.5216535433070866
Active (Stigmergic),0.5242656449553001
Active (Stigmergic),0.4845222072678331
Active (Stigmergic),0.49126344086021506
Active (Stigmergic),0.5027472527472527
Active (Stigmergic),0.5078947368421053
Active (Stigmergic),0.512549537648613
Active (Stigmergic),0.5006587615283268
Active (Stigmergic),0.5138312586445366
Active (Stigmergic),0.4959404600811908
Active (Stigmergic),0.513986013986014
Active (Stigmergic),0.5181940700808625
Active (Stigmergic),0.4959946595460614
Active (Stigmergic),0.5040160642570282
Active (Stigmergic),0.5111888111888112
Active (Stigmergic),0.5143042912873862
Active (Stigmergic),0.5065616797900262
Active (Stigmergic),0.48
Active (Stigmergic),0.5158940397350993
Active (Stigmergic),0.5188067444876784
Active (Stigmergic),0.49455782312925173
Active (Stigmergic),0.5020463847203275
Active (Stigmergic),0.5236530880420499
Active (Stigmergic),0.5027137042062415
Active (Stigmergic),0.5192307692307693
Active (Stigmergic),0.5242346938775511
Active (Stigmergic),0.5177838577291382
Active (Stigmergic),0.5269028871391076
Active (Stigmergic),0.5188916876574308
Active (Stigmergic),0.5241046831955923
Active (Stigmergic),0.5
Active (Stigmergic),0.4920844327176781
Active (Stigmergic),0.5061141304347826
Active (Stigmergic),0.523224043715847
Active (Stigmergic),0.5100133511348465
Active (Stigmergic),0.512
Active (Stigmergic),0.5019455252918288
Active (Stigmergic),0.5288713910761155
Active (Stigmergic),0.4864479315263909
Active (Stigmergic),0.5521212121212121
Active (Stigmergic),0.5146276595744681
Active (Stigmergic),0.5078947368421053
Active (Stigmergic),0.540506329113924
Active (Stigmergic),0.5012820512820513
Active (Stigmergic),0.5255570117955439
Active (Stigmergic),0.5109254498714653
Active (Stigmergic),0.48137931034482756
Active (Stigmergic),0.5013297872340425
Active (Stigmergic),0.5346598202824133
Active (Stigmergic),0.5006657789613849
Active (Stigmergic),0.5056417489421721
Active (Stigmergic),0.5013642564802183
Active (Stigmergic),0.49328859060402686
Active (Stigmergic),0.4938101788170564
Active (Stigmergic),0.5080753701211306
Active (Stigmergic),0.5199175824175825
Active (Stigmergic),0.4962025316455696
Active (Stigmergic),0.5220883534136547
Active (Stigmergic),0.526246719160105
Active (Stigmergic),0.48848238482384826
Active (Stigmergic),0.5006622516556292
Active (Stigmergic),0.5013071895424837
Active (Stigmergic),0.5070422535211268
Active (Stigmergic),0.5293742017879949
Active (Stigmergic),0.502710027100271
Active (Stigmergic),0.47050754458161864
Active (Stigmergic),0.5158839779005525
Active (Stigmergic),0.5211920529801325
Active (Stigmergic),0.4925170068027211
Active (Stigmergic),0.5273109243697479
Active (Stigmergic),0.5158520475561427
Active (Stigmergic),0.5132275132275133
Active (Stigmergic),0.4765625
Active (Stigmergic),0.5040214477211796
Active (Stigmergic),0.501338688085676
Active (Stigmergic),0.5232258064516129
Active (Stigmergic),0.5180645161290323
Active (Stigmergic),0.5204918032786885
Active (Stigmergic),0.511455525606469
Active (Stigmergic),0.4838709677419355
Active (Stigmergic),0.5
Active (Stigmergic),0.5131752305665349
Active (Stigmergic),0.5209698558322412
Active (Stigmergic),0.5109677419354839
Active (Stigmergic),0.5134228187919463
Active (Stigmergic),0.49795918367346936
Active (Stigmergic),0.505464480874317
Active (Stigmergic),0.48751733703190014
Active (Stigmergic),0.4850340136054422
Active (Stigmergic),0.5289052890528906
Active (Stigmergic),0.5350194552529183
Active (Stigmergic),0.5180240320427236
Active (Stigmergic),0.5065274151436031
Active (Stigmergic),0.4659248956884562
Active (Stigmergic),0.518
Active (Stigmergic),0.4702549575070821
Active (Stigmergic),0.5259165613147914
Active (Stigmergic),0.5154241645244216
Active (Stigmergic),0.5328418230563002
Active (Stigmergic),0.5389784946236559
