aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,0
Specific Rock Trial IDs,None

Trials with Mean BBot Displacement <= 0,2
Specific BBot Trial IDs,"6, 9"

Total Aggregated Trials,9

,Mean of Pooled Rock Displacement (px),53.03664005758185
,SD of Above (px),75.47512487252894
,Mean of Intra-Run Rock Displacement (px),53.03664005758185
,SD of Above (px),37.07495066184519

,Mean of Pooled Bbot Displacements (px),79.39128087971204
,SD of Above (px),197.70192671144727
,Mean of Intra-Run Bbot Displacements (px),79.39128087971204
,SD of Above (px),73.06378759008429

,Mean of Pooled Bbot Stop Times (steps),1222.8422222222223
,SD of Above (steps),1191.10061939302
,Mean of Intra-Run Stop Time Means (steps),1222.8422222222223
,SD of Above (steps),1009.3109356112438

,Mean of Pooled Bbot Stop Times (s),20.380703703703702
,SD of Above (s),19.851676989883668
,Mean of Intra-Run Stop Time Means (s),20.380703703703706
,SD of Above (s),16.821848926854067


Trial,Duration (steps),Duration (s),Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time (steps),BBot Stop SD (steps),Mean BBot Stop Time (s),BBot Stop SD (s)
2,2174,36.233333333333334,77.21290050891088,76.54606206044494,176.7641070157746,190.20872781797812,874.36,581.8156577403505,14.572666666666667,9.696927629005842
3,3278,54.63333333333333,63.53162578362528,88.20908018340276,124.17347208985916,191.30984237548122,1952.7,608.5818661076767,32.545,10.14303110179461
4,1146,19.1,26.441214487016456,35.58650449816149,48.854614375087756,226.5313440683961,446.56,335.60047675770664,7.442666666666667,5.59334127929511
5,5310,88.5,123.80494537969649,122.53764195666507,125.35005220129624,211.84289421157595,3306.08,1433.9687304819447,55.101333333333336,23.899478841365745
6,1267,21.116666666666667,5.81369361827304,20.97925621455722,-37.986572087484554,133.98252569775858,424.78,373.62850096679443,7.079666666666666,6.227141682779906
7,2400,40.0,78.71500063160414,70.17757307782664,98.77456196339702,179.55079964422202,1132.94,488.2934635345964,18.88233333333333,8.138224392243274
8,3704,61.733333333333334,44.609254780689575,64.8721881565517,136.75220901310595,163.47639203801705,1969.68,1035.7052894190567,32.828,17.261754823650946
9,726,12.1,13.909403982064518,24.77636040398126,-23.20239886328038,163.82189168748235,172.32,160.76379427912372,2.872,2.6793965713187284
10,1755,29.25,43.291721346356276,44.52522404923015,65.04148220965259,204.5803920816931,726.16,574.2744974028944,12.102666666666666,9.571241623381573
