--- TRIAL 1 ROCK DATA ---
Rock ID,Start Dist (px),End Dist (px),Net Change (px)
1,137.19,233.86,96.67
2,505.94,530.7,24.76
3,579.49,579.49,0.0
4,265.01,319.72,54.71
5,578.73,577.81,-0.92
6,182.78,252.87,70.09
7,342.08,366.73,24.65
8,308.26,369.21,60.94
9,207.46,270.71,63.25
10,554.99,549.82,-5.18
11,349.29,427.05,77.76
12,576.47,565.41,-11.06
13,498.9,480.48,-18.42
14,700.75,700.75,0.0
15,625.76,625.76,0.0
16,471.84,471.84,0.0
17,489.17,483.43,-5.74
18,564.3,569.84,5.54
19,71.56,311.58,240.02
20,209.35,232.89,23.53
21,496.24,496.24,0.0
22,397.63,393.09,-4.54
23,662.38,679.2,16.82
24,522.15,522.15,0.0
25,583.0,584.01,1.01
26,581.21,580.92,-0.29
27,503.29,546.64,43.35
28,232.64,258.06,25.42
29,519.85,502.35,-17.5
30,495.03,529.66,34.63

--- TRIAL 1 BOT DATA ---
Bot ID,Stop Time (sec)
1,2.85
2,10.9
3,17.15
4,7.33
5,2.18
6,6.77
7,14.8
8,14.8
9,14.8
10,3.68
11,1.38
12,3.1
13,0.35
14,3.1
15,14.18
16,3.1
17,19.77
18,12.28
19,8.92
20,21.52
