Trial,Step_700,Step_1400,Step_2100,Step_2800,Step_3500,Step_4200,Step_4900,Step_5600,Step_6300,Step_7000
1,7.754513221047337,7.979668319825325,-21.858471154677193,7.586464785589371,-21.261780673660912,-5.239496219008231,26.98307693865234,24.018004217926727,17.82927301030002,9.597908371532908
2,39.058904724547986,19.76422448302394,25.41963854320496,-1.2137443089898228,46.78125786974485,13.123945720536273,-9.645194611387655,11.233040767018258,28.002172183198898,58.89250696774091
3,12.748174845410032,-55.9935819491421,-14.891538606948604,-10.183345526619085,17.656232482663203,6.9351862265032675,15.195031740872063,74.83258395199553,51.37826443916011,15.56155074998725
4,-2.123439651939653,-67.73386596983451,-66.35963902850081,-9.17617328183229,7.781138685366135,18.458572294865107,31.55486436758638,-12.0936603378617,1.844257503589968,-32.257535153823405
5,-3.4935005285405625,-37.355765732152946,-37.013389259926335,-63.82448048354821,-40.43239153071621,-55.72687627582758,-19.72708193664603,1.2736063848014028,3.350658745261383,-52.06355839833751
6,38.49602914838345,44.500048654638135,17.525096881184272,12.49087729689209,29.067935908852483,65.61521441871044,8.19306435869078,31.888620140445997,-17.156453732108524,51.22947217403563
7,40.498402138051446,46.518535692914575,18.263842891537347,-11.262294422481947,5.960119640748101,-6.451073968956152,11.427834908936607,-6.330278766195542,3.9552062975103923,16.014909655879457
8,28.00206684821075,-6.399209294106873,1.1772935683220325,15.845049624700234,-17.84607119490963,-20.852547276014683,-3.084382435928788,26.22888457552837,9.36602636876625,5.255847530133815
9,61.37386742789389,35.242584428308064,63.25847749427765,51.17386633986097,22.266961740840646,24.800234109568105,36.260254016801035,21.840387837519636,5.349438424232079,12.28390887942623
10,33.39032681556732,15.947655797824352,17.923090042322276,11.476528694229348,29.05174175464699,-21.77941631947648,-17.29980707727554,-4.748962924012817,6.312409492721812,9.205118929944387
11,-33.338526103132615,-53.79188016490455,-40.52529433859425,-57.379024906785816,-24.011508946096434,-76.88328284091325,-53.76659950000642,-89.73610149328269,-39.68139647796063,-52.13248759702858
12,8.006025152042007,10.779110258686847,2.951583414115916,-18.091390855203933,3.517059881588584,-3.0925702850634096,-31.727462053005915,-2.2498736759928972,4.522401474377287,-54.98359061110808
13,52.92903029442182,57.63545567346574,57.817705488739584,21.468529934562074,39.291096132432756,63.05817048964447,76.8009786215093,34.92238340443258,35.839956250361666,18.846350554943555
14,-56.22607472309956,-9.48975271504873,-28.380918953237657,-63.870247443631996,-63.59635532451358,-71.69903914867136,-44.01641997447785,-47.36147903444793,-68.5657324233132,-36.49989658188256
15,-11.813839404117786,-20.283921818037925,-68.87316063949652,-30.90332894373903,5.8269072557363515,4.967294944879711,-28.38917233718441,-54.74208440683798,-31.95692755909017,-39.6248206773508
16,-91.61228277460475,-80.87828205631249,-48.9861581366466,-65.7305710220507,-27.41060872327643,-73.6625547191152,-24.023794903462598,-51.32143964591448,-23.535383330292902,-11.762634790780945
17,-37.11660185370705,-78.84170658580254,-60.58214188971173,-34.41461494001122,-21.190519018986826,10.028293248869971,-24.476747787313077,-34.16073028025945,-81.17876778475848,-48.64554321161186
