Trial,Step_1000,Step_2000,Step_3000,Step_4000,Step_5000,Step_6000,Step_7000,Step_8000,Step_9000,Step_10000
1,-42.77873306930789,-25.972235567250003,19.205135382747486,8.23751290976013,44.61556530562612,5.570672259231413,-45.652174484666354,-24.058554964616775,46.26976953940684,-12.851780926747685
2,29.918962296835552,-65.20701959512974,-25.715430386418156,18.052180436996576,-25.252128295843313,24.76879696586243,-8.06200863542477,1.1386171666733467,42.569160395972446,25.941383345678666
3,-14.009180564393668,-19.63216021285583,-15.285895635854441,-37.615035895359696,-28.210188857147525,19.915775941715367,11.292392492724654,-18.478402517751544,-12.853772196096418,45.78392641965387
4,5.303327325278644,7.953787365467718,-14.469271192744115,24.68686202547744,23.90160522218429,-6.376264370962012,-46.49923247050286,28.94285304033205,11.554561989463568,-30.680819426497532
5,-41.37624403103782,7.448918651098806,60.77547594803525,33.25247684601168,57.07157759897211,38.70191835468349,31.057313804531795,100.00606986692226,32.70348584491225,85.46566663918037
6,85.27284657580283,39.11044778140632,10.682465705489447,-17.163009226364473,10.685308876966094,17.50388845761008,-24.347174723009385,-44.25268125367763,22.612137951288847,39.246687524689165
7,65.8861503760063,44.265691231908065,19.695827636993688,68.1256094690873,-1.365889239255648,30.44369806537542,1.9068906937386019,8.049974651916711,27.4398381331295,72.42302148528972
8,-24.84936337714296,30.592703590829778,-16.285988653268337,-0.7895480955679034,-18.762610662468386,18.663165883690002,28.508793823842733,0.37751227755992434,91.70539824727815,-14.009749067396003
9,9.800199968217902,52.64126595725312,40.351634484169914,-23.32421174038888,-23.81019925495675,-2.621715850214965,54.87504253883254,63.77654020551758,60.09471671579361,9.692413415909327
10,-50.257919742932515,-0.38558985250333394,6.841174780230871,-4.159013605686911,12.655888538463788,-13.831952154798907,-53.494975050065115,-3.5144489781425206,-23.75771506487125,-1.8564030639896671
11,-62.06064968797542,-23.376260912220715,6.367736303244607,29.970661844352843,-2.8329717351520443,-26.49670732822655,0.3701422786512282,-31.18399086713537,-30.705308005389092,-85.05193431362613
12,-1.9107249831024873,-17.53139252430617,-41.52479162835735,-20.506095780038336,0.6409595487437088,16.60279254829998,31.89027877541062,-4.5587176652332175,-48.19942303011968,-16.34050161624537
13,8.929656670584556,-31.67678420389925,-45.007779922649476,8.596720586031385,-46.360163572863804,-29.721756712017427,-90.97198196830057,18.483970302232446,-91.54977229895734,-63.61522425909258
14,41.72987625309477,9.5970844057597,29.033551465278627,28.587609898190376,18.2585642140647,-0.1484010420604207,50.1677363150754,42.73686980577612,67.28082718026516,5.71145443089744
15,-5.573127195416346,-35.57810596029568,-10.254132994168604,-67.14011216803607,-8.303725156120636,-32.716698195894224,42.684143288318715,-46.577674911268026,-33.04507520382095,-68.11715616807452
16,-85.97438804370009,-74.31650366904877,-44.80303572989269,-25.62826292154089,-47.558607797438,-48.07887384774866,-33.26336799188192,-95.14343475763098,-100.66331020726379,-92.400109173958
17,-54.144028664754806,-23.305048707764705,5.35283368561165,45.68260126885295,-55.87939079550506,-34.439268008520585,-27.035598873892397,-16.800793324191968,-38.68851768268535,-62.7468271858535
18,50.40570990378059,17.101846743478216,82.80477404267552,39.01274748232215,28.15526326868551,0.8588750180585734,-11.993990263167861,-55.02651280062017,-8.401484083800707,4.543065078057031
19,5.449764830557197,-54.69137467718662,-10.471532116660338,-17.75285185763243,5.776155275566998,-17.87452562408097,27.220040504767642,-2.2736691367528676,-47.13580611786234,-24.737994358514165
20,-34.24033030829798,-47.17439329436782,-20.6073771242655,35.710361323258105,-59.09893819760398,28.440809484277107,35.08006059579313,-59.010868194331174,-79.50209180407329,-30.55804206745377
21,-24.084229569107674,-47.30651634889435,-93.52970433853955,3.243632160863119,-34.29026395869742,-77.79573731032552,-62.60188106760767,-85.04241410599853,-92.14265814619854,-60.59777555291781
22,28.943962964115883,2.754720021662641,-6.7254183194132136,17.084373867886082,-17.11331911902982,-21.25767030382835,-24.924266876317976,-82.17164581533795,-32.256935245767856,-23.312307286111242
23,-54.86518312048254,8.832890548380197,-17.534602000836628,-48.731587288898695,-4.755678480131456,-14.54203814410284,-43.96778915327296,-3.730046083077846,-58.05804776642103,-25.694974732241803
24,-22.504617963659328,49.83857171088649,-50.72845712278175,-56.15406232659209,-12.34968932881669,-57.26286603635208,-46.39355223365299,-6.1474726684672945,-34.33543061249694,4.963837766035757
25,84.2288718161665,103.64030041075094,98.35127505604495,57.09321145682008,79.09980901658213,91.23941824179886,98.64405649783342,78.85536920169142,59.70327788573795,22.14936825776942
26,15.865388703925056,16.48650099636934,-1.9633172466144024,80.6637221685008,44.6981260440892,92.53290712336027,26.32266038181625,-41.21570226725331,57.979073699077276,25.393167753512927
27,44.17870785636702,5.387080280749968,30.02030628878515,33.22529257489504,24.555623967603154,68.51749104388969,-15.469185168013956,11.224108855198184,-48.30936604761608,34.7376191581727
28,-1.7623826791467707,-26.715872578091037,-49.550540446526,-8.469075283418626,-34.196078988736176,-24.41994025324045,9.663530521464327,-18.812668350992478,-1.5373391430504384,-38.53454366381827
29,-3.5202919353309254,2.958556147106168,-29.320357935444676,17.22400279914806,-57.48016752037855,-40.54927128270942,-17.672238885822274,6.517455637394652,-16.714066937685853,-45.69222931404068
30,-28.921648289969276,-30.38142239255763,-52.49654475994102,-103.23602914138941,-40.6865451643838,-37.831935627704105,-8.64235658312683,-22.797624182742062,-21.836814138897193,-6.614381312261878
31,-33.492535404987635,-75.5348469084074,-62.41348953412959,-71.18036935255252,-38.0089413999671,-104.59325145437501,-109.83432071183462,-55.75120641183318,-19.626529833159328,-57.10349419645525
32,-63.45442112828343,-31.000967165468655,-81.21125793170366,-67.13310016266347,-51.25146140693931,-7.896907533111644,-27.337918857477213,-21.77025634557621,2.7234272081350097,4.190164239619941
33,62.16716908740388,128.9302735045405,148.1461419059885,117.1946226771933,60.322676158978666,125.18999045445658,159.19412322070156,71.84406479734801,84.30823815137506,83.08376556495783
34,62.22661715471182,0.65903158575302,16.46600999985685,54.512106807114336,15.991733636266808,11.356192567309922,-35.86510289167155,-2.034222890976248,6.009523497402833,47.662256957958284
35,10.475603304425785,-20.988731104734235,34.75140298041073,13.064655349146795,54.46225442786956,55.751688372055376,8.655461872514062,68.62730387707938,27.917209560309015,-21.675219103273385
36,65.90498212066406,41.488114078502356,-21.787320562680826,30.929341495018978,33.30921818063587,22.50538878363781,11.830442062938957,-19.93094100188623,32.433191754810665,47.62873877854598
37,-3.5908168167244994,24.872969538354237,35.08571623382549,7.369350276977142,31.863888940077178,8.919553782335766,55.02814137136789,69.24228820670245,3.930767338945981,9.05538217872272
38,-12.696284397103785,30.810710577189155,38.004415459480086,31.200961117018984,-33.679858245659304,15.708455139913225,29.36701498064976,28.139059129601424,-4.362101124021,30.684660901432267
39,20.001664863969523,-3.8341206046229814,35.312772877972684,69.00737059808318,16.789414700650003,45.06139686889868,33.323832735118216,7.467770742701336,-18.48143443959173,-16.26520476456022
40,27.082052400108783,36.56791325429432,17.572776252353478,-24.819252755912206,-3.381206667909278,24.532981293366543,-48.70415430109247,-52.825899178409934,6.1113437235990915,1.7695885079517453
41,-19.987852940149605,2.7571991009427776,-0.58228000488254,-12.197003236567644,16.435226537042606,-41.49829660811902,-47.82935610164807,0.000169862513247665,-30.878095458272107,14.266129483546752
42,-34.7487949611377,4.0015989503829505,-47.619339428931205,-48.52656729491783,-98.85360475369271,-72.50259828057663,-83.01032517263398,-67.58650784542347,-72.78165353202868,7.184505860260548
43,-1.9896478732163743,25.73600579219206,13.140993808739603,76.2170981108535,6.7912375288725855,-16.534368434953524,1.8056669550632207,-43.85477926373189,-35.33920925629625,6.5794242947289305
44,-49.03347912671883,-16.804538686363813,-9.562861965259984,-14.655904134838469,-15.587093448591943,-5.140553395117085,-37.440579044216754,-5.042427427136123,-59.9197767012091,-61.67285559447352
45,53.93741855090459,96.99712642628667,-7.399035463358184,19.54320665364574,-0.5878910786116698,60.86352336720715,53.980085596042194,45.410029464224564,-12.053896398877425,2.7539325486559365
46,72.33657045752119,72.20444785923412,5.385658399690387,42.08700113924141,43.61447779319085,79.37952120210313,11.079539594234985,66.60857925659782,89.6810119094811,115.13930931981584
47,17.536620075333385,-0.2469573237297027,0.4337443906981804,-33.3827529288875,-18.501914829091422,-51.775793954013075,-27.236708354405252,15.590448020541022,26.490462257483433,-30.538333914594244
48,-8.49722295893644,-0.4602327337238094,25.431983976455378,8.63476714486683,-37.00764626169003,-28.553707024628455,5.261020862292168,32.46497415376957,-34.864972031867836,40.32072387736076
49,-37.50577016956689,16.946003311368106,11.23201929243579,-53.90677543121933,0.6385097846321685,-16.335298035235333,3.5761155061996703,20.15976595223218,25.040804551267673,17.53120417656536
50,-3.265821912763201,-9.891937042743997,2.2119522938507474,7.708891841161259,19.69022724843046,42.097004250557085,6.073648140016404,30.37220241100321,-18.653898458269275,28.552011000915833
51,0.5979199238276749,-37.34605851867987,6.653786920342992,-18.999463128812593,56.77477649902246,99.97600576074687,11.953005412933553,23.723539503202957,46.83656184223176,40.163597554198354
52,23.14806548255387,0.5692143761052861,52.42789815210818,56.16391026162401,61.5799388182582,48.85170586423146,-36.08633108782511,20.858056965198255,-13.07098820412869,7.715204732194533
53,-17.51675401214057,3.8104457064963895,-34.46700353409877,-114.63944001710267,-44.396422200676355,21.087292179986996,-28.975864445872713,-15.552252913413815,-33.83661037808167,-30.14598331204751
54,39.22954593291985,-35.249953384544725,-52.239464358809734,-39.417042956074575,-63.10179360124547,-71.8793268736058,-48.12045621157745,-48.86575405749314,-61.481442068918476,-31.1141222688412
55,5.483019734971174,-20.49010062104994,-67.9172497645951,14.820690875159823,5.065805246034695,29.192433388139897,22.8645373130557,6.7251521026019105,77.98971683401395,52.208709663560455
56,-19.97489621255303,41.52620454491887,-11.859169482953112,0.6670167713401014,-37.1514149489858,9.963314728306745,34.02049183374626,-1.4604046237331503,8.008458835775903,-3.4544766548243993
57,98.11758841044644,37.66665044440439,2.2149529224647964,20.780852464838404,27.313607610743247,54.98172897307537,16.88959804687864,33.86904398360953,20.715867141436348,57.84762762319182
58,17.319941823790323,-12.43976625475522,10.649110436260772,28.792319398104162,-29.650800803421536,-26.01494096775606,-30.795866437419917,63.165501971787165,3.3465745688332875,16.743126276333193
59,3.3777748876582665,3.307582556214423,6.660688930908295,25.592140392672565,6.272992082890667,81.38102737723592,11.597702606141187,23.761287462109404,25.14911891253852,-4.064215679244017
60,-46.02675113559757,-98.50241694189108,-36.87180984440172,-5.4185472555288525,-7.1519150769441096,-66.86282754111174,-59.22194166250493,-33.227044461985834,29.542480533906097,18.30518144927691
61,-45.2409200379722,22.93664199604894,-12.674240630362357,13.005063989051546,-10.12530239434128,8.209602339211045,-3.0571251184223156,9.446464013857769,10.641152669113987,-17.264962442465503
62,-34.7664211160683,-13.200461014529349,29.85834113881867,4.7654882755190755,-26.477490850692543,19.711527322588353,-18.95820164294023,-34.921112341689785,-30.921473343372128,-22.24968813536237
63,8.523637653236658,48.73383111933038,74.62689176518128,42.72885660432724,42.5371916326034,-3.1825259999735236,34.43051426312034,91.17573943352488,63.84033918377749,47.042087240057654
64,8.690250100770173,-2.3582875215678856,5.065081349920004,-70.22275128456721,-7.107607838693772,-37.70074762350032,-28.18954521509844,-5.272011730310102,-52.99446536873272,-44.181718583585585
65,91.48070493365285,17.30513066147131,27.695475641276587,58.6420920800712,90.5935353962999,9.527333922609797,-19.58184688681503,-2.51337789744442,-4.807405974863961,42.37290443925335
66,-1.7836850809000608,10.392199230342154,27.853340167038805,-4.32965875873209,30.79807750282921,5.506302762273052,44.48788052534562,-17.201547193057493,5.150792228568342,37.73873548858965
67,-43.375086432930296,-86.31034475107528,2.2083544451949266,17.850127895245393,-26.831064384399234,-65.23221781027073,-81.51666030255977,-45.16968128416112,-91.12062774828607,-74.21147972203195
68,-27.5412569193982,-10.781893460952407,40.4796519486494,2.6428820008645983,37.713691127437265,24.73723876577906,43.80067991880335,77.74685247199014,71.10608179132345,19.48171933809081
69,2.814771536416586,-45.70863416929318,-17.11543853799404,-59.48871875337533,-41.353418843864326,-5.916355925487343,36.90665028229324,53.232085068333234,9.712777141841928,-24.96390685858234
70,-19.084324671351396,6.7389843454572125,36.10880095318491,-45.08860901044477,24.489061864439567,-15.39563882725529,-0.9259045102942508,-15.296565318719072,-48.14629027113962,-11.982339513854544
71,30.388781237320543,62.638912854004516,46.197158306868175,42.12460135882764,3.5930050136761524,2.6440154342741464,6.66498523246008,35.51921908230032,56.43071934713248,38.2741205149111
72,-18.631092110597976,-0.8018826173045909,-20.654395484931925,21.197326571405895,-3.538532089612521,13.92475768827568,-61.26170617434064,11.772166695377624,10.350376360264544,-24.94383754427394
73,-65.08595905619687,-73.4876481552241,-35.65748013247766,-58.63316350984718,-83.62716548414204,-83.42378628206808,-59.156346171407144,-70.15334391481073,-72.29837921848394,-48.56992800644395
74,29.521019754160367,-32.9768669104369,27.386818002480844,33.23277144459869,7.967287750094513,-24.483645862195498,41.085520651792685,27.2872341272707,-22.753932662431914,32.18273921685986
75,-19.32373603352438,-64.20807349677195,-25.146455520815934,0.9614523459572787,-22.944643303269153,34.70754381593101,16.42032340715982,-2.6508014977740317,-10.394721743016659,9.922096907315913
76,47.40781556486127,57.64776497505389,73.12083798099374,-8.920549100347154,11.51944929755838,47.70250454664781,1.3414470341364564,3.6992026863964567,-5.562319418476837,80.2637375683821
77,1.7869690601125554,-29.798192696951244,18.96564547459688,13.110800150824291,-36.34542551827063,22.574216904177725,-56.71382820724629,-20.75738123012986,48.90778015695099,-19.09415557776348
78,-18.64167132969363,1.839502772346087,53.13560670021361,22.73386001637644,-63.1088762431867,-103.90871652506017,-31.090492350342153,-15.554910798179792,-5.962132278509593,32.437622938539484
79,16.517286539323848,1.9089066502717074,-21.906020562124425,-15.491517416161802,-23.519765133425125,24.324066376893427,17.87517476095634,31.171030971970616,53.185807006752356,12.212404966584625
80,-5.9677844106897195,-17.05164345272788,-71.3855679260098,-3.0078144147161936,-58.355040181144076,-2.5817641420736193,-33.15121506375874,0.08170131057839285,11.598010067804044,-54.70851800511073
81,14.166040088408119,-66.41154439770786,-30.154905417171218,-10.674905587496564,-40.722000069237765,-6.570945822707536,-38.44440370162711,-3.504414171349508,-21.076099935810234,-3.4744857129172586
