Trial,Step_500,Step_1000,Step_1500,Step_2000,Step_2500,Step_3000,Step_3500,Step_4000,Step_4500,Step_5000,Step_5500,Step_6000,Step_6500,Step_7000,Step_7500,Step_8000,Step_8500,Step_9000,Step_9500,Step_10000
1,-70.04158486394724,-23.112917943814068,0.901299522629769,-4.134189980471504,20.78985718771274,-24.362653289580507,-36.185439672468405,-39.18134944736395,-72.88045127568573,11.236455993649137,28.119852604241792,-24.126036960905658,-66.0918753372686,-46.32001401804108,27.06327031176316,-31.431597496589482,-40.19213501560831,-35.0874408006918,-51.82009965940721,-68.33110707580296
2,-8.96092888038504,-49.817678321428374,-30.152491195089357,-34.483762784246274,-8.12981850059841,-8.927567151972355,-14.434300573675564,-28.63785585556475,-54.55386744565001,-34.26530420239431,38.1051276357081,-6.162018072700017,8.363200108810148,14.469148978636506,-29.41990619391792,-51.964971129240574,-16.54662979785612,-0.8874033439890624,-23.25488538572207,-35.15516557774223
3,5.487572531620074,-22.889725381640115,13.460614085455221,-26.551910580896948,3.3676886597059026,-12.84876051747879,-8.817251712694471,13.910749837158093,-12.345900696354677,-19.071774686927043,-14.023576280284088,-8.865791959909473,-14.820270577003374,-27.002476375915627,-9.206611158846663,23.704349455358688,-9.16447261501865,-30.754537206860892,-38.46831438881476,-14.926947719930308
4,13.622651444829536,-21.678009133022414,22.510303257431733,36.314356995867925,15.716402796875833,-17.318811188823116,-79.11692660971602,-116.98480825195023,-41.043848022997196,29.7690790009374,67.52069084592011,39.90807608451016,-1.158580731083518,53.343186367153145,44.080922374409866,1.1453052500505692,3.6059664539133762,-7.7360239717215595,-7.837649009590338,-10.000427351009396
5,-1.027051279916268,17.157856463527594,16.81711909693302,30.45094810702365,20.178603872438963,-18.350639406542857,-4.6799157232406685,-18.03463747471341,5.351149901798267,5.68091358892818,-7.87616015018227,55.406031110929014,46.12790197469751,24.85577119280982,25.05721681502124,90.45670320319309,61.59885475531718,-49.32716667916047,-67.92487696035255,-43.259122289920505
6,8.22017238448289,-7.896609755632047,-4.77892323678366,10.659050460663833,-43.78895812110955,-36.47544106100653,19.427279813018174,10.669873688580095,-3.861046753867626,-36.61333414290553,26.84274001492259,2.4011006171624487,3.0230598708787726,27.61419979804872,31.808827721885834,65.59037472201072,42.99411984223349,33.35598298593521,-12.669021598391094,-10.567112296560696
7,-9.531139391413443,-74.11971337422082,-57.7670528479314,-37.5011799116667,-61.63573511379515,-58.54352543366781,-77.13158560259942,-85.33198992858408,-91.92014107052925,-87.00748834416568,-111.2955336098355,-145.2179168060889,-117.04855869819518,-83.97620751353433,-116.0679022692655,-93.01677676180586,-120.27967581271145,-112.32521731040437,-102.25238819908365,-127.4781858921659
8,31.495761700416143,44.78910839905913,16.95604704234085,45.40451204587137,28.894308579354533,65.54325918975309,79.91727579013434,44.09282752337167,16.96155879005691,44.286284180906954,50.01418654629524,72.57118156332659,39.85505484563796,7.469264002876126,-20.762506209788476,2.689102130502289,-28.244016594494315,-10.577635565688437,-4.0948901681974235,7.700385039030846
9,-7.1489427885197525,-6.32504936958753,-23.928253144310094,-7.349002460080579,-30.54099947252092,-29.953576346858533,6.440832889192608,-2.369672837148758,-22.437270901681043,-41.280305901024036,2.616135678509809,-56.44616353462279,-72.03609799820967,-61.09307190683984,-40.715029360167044,-24.891635464904923,-6.123533282149094,3.3335699677648707,36.88882174940173,-16.890173984147413
10,41.730172433928296,-47.867288895225904,-49.836412433316866,-34.600982727880826,-3.9183367877791326,-36.85287803447006,-108.40931723250362,-50.04042989783872,-32.530099605697735,-16.08609197972527,-28.514014787379946,-53.68233675184923,-74.83157118344823,-19.9143384444632,15.216304603952509,-63.42147660219707,-14.997921154384596,-79.5148381687173,-70.40214047313872,-55.64986780108601
