aggregate_summary.csv

Trials with Mean Rock Displacement <= 0,3
Specific Rock Trial IDs,"592, 735, 863"

Trials with Mean BBot Displacement <= 0,260
Specific BBot Trial IDs,"2, 4, 6, 11, 13, 14, 21, 25, 27, 28, 30, 31, 38, 39, 44, 67, 68, 74, 81, 84, 86, 87, 93, 97, 98, 108, 116, 121, 129, 136, 141, 150, 153, 157, 164, 166, 167, 168, 169, 171, 173, 174, 175, 183, 184, 190, 192, 199, 205, 210, 212, 213, 220, 221, 224, 227, 229, 231, 239, 243, 245, 251, 253, 254, 266, 268, 269, 272, 273, 279, 280, 281, 282, 287, 290, 296, 304, 305, 306, 307, 308, 311, 312, 322, 326, 330, 336, 338, 350, 353, 357, 367, 370, 373, 377, 378, 384, 391, 393, 394, 395, 406, 409, 412, 414, 415, 417, 424, 425, 429, 438, 444, 445, 452, 456, 463, 465, 472, 474, 486, 490, 502, 505, 506, 512, 514, 522, 523, 525, 526, 528, 529, 530, 533, 534, 543, 545, 546, 553, 554, 560, 561, 564, 566, 574, 577, 584, 587, 590, 591, 592, 603, 613, 614, 615, 616, 619, 621, 627, 635, 648, 649, 661, 666, 674, 677, 685, 687, 689, 692, 693, 699, 700, 706, 709, 716, 724, 726, 727, 728, 730, 732, 735, 742, 744, 756, 763, 766, 767, 778, 781, 782, 783, 787, 789, 790, 794, 796, 798, 799, 805, 806, 809, 811, 813, 815, 817, 819, 820, 827, 828, 832, 835, 844, 846, 851, 859, 861, 862, 863, 865, 866, 867, 870, 872, 877, 884, 886, 893, 895, 898, 901, 907, 908, 909, 913, 916, 917, 928, 931, 932, 936, 938, 941, 942, 949, 953, 956, 962, 965, 968, 976, 980, 984, 987, 989, 996, 997, 998, 1000"

Total Trials,1000

,Mean of Pooled Rock Displacement (px),42.668339316109154
,SD of Above (px),61.768636674642146
,Mean of Intra-Run Rock Displacement (px),42.668339316109154
,SD of Above (px),25.388158910257278

,Mean of Pooled Bbot Displacements (px),36.001377234029846
,SD of Above (px),172.3443200748005
,Mean of Intra-Run Bbot Displacements (px),36.001377234029846
,SD of Above (px),50.48149551116155

,Mean of Pooled Bbot Stop Times (steps),701.15482
,SD of Above (steps),847.5399794765459
,Mean of Intra-Run Stop Time Means (steps),701.15482
,SD of Above (steps),763.7544790249012

,Mean of Pooled Bbot Stop Times (s),11.685913666666666
,SD of Above (s),14.1256663246091
,Mean of Intra-Run Stop Time Means (s),11.685913666666666
,SD of Above (s),12.729241317081685


Trial,Duration (steps),Duration (s),Mean Rock Displacement,Rock Displacement SD,Mean BBot Displacement,BBot Displacement SD,Mean BBot Stop Time (steps),BBot Stop SD (steps),Mean BBot Stop Time (s),BBot Stop SD (s)
1,2099,34.983333333333334,58.78695294377087,74.5436563304058,94.44911256742157,173.44499428388312,1046.98,532.4483874575285,17.449666666666666,8.87413979095881
2,1566,26.1,71.82894412169225,76.36477292855436,-3.3878045161228894,177.42747303164953,904.7,348.033147025641,15.078333333333333,5.80055245042735
3,2447,40.78333333333333,95.68254329483247,103.42494872369683,112.14182914593883,202.1653376773798,1757.62,334.1619361804045,29.293666666666667,5.569365603006742
4,679,11.316666666666666,35.00047935317524,39.74875322212253,-7.055143638832199,136.30686159750485,409.26,166.96948395269288,6.821,2.7828247325448814
5,1688,28.133333333333333,45.6106491755732,45.01435969102043,52.82462395983883,164.95738273678916,818.1,466.7736527024023,13.635,7.779560878373371
6,554,9.233333333333333,17.9955589079622,25.59515319233638,-15.113473363352082,141.23827915332856,201.46,174.1028560644423,3.357666666666667,2.9017142677407053
7,1684,28.066666666666666,57.25480716937081,58.807530366799895,72.69504402504046,190.61105751139232,818.94,404.69179050991687,13.649000000000001,6.744863175165281
8,7804,130.06666666666666,178.19236403669288,147.65707566608398,193.1277705299232,195.63223981657154,7171.16,574.8160791922571,119.51933333333334,9.580267986537617
9,1307,21.783333333333335,40.880982617257594,29.088311021897574,68.40289640680116,192.26671034532404,795.16,407.7985877406459,13.252666666666666,6.796643129010766
10,1416,23.6,62.68290297716789,66.06637536155257,120.30765860508859,175.45266730293721,721.5,444.6110086126881,12.025,7.410183476878135
11,669,11.15,28.800679800652212,34.579058840500934,-5.575907251102883,145.85516516656335,277.88,219.14198547042136,4.631333333333333,3.6523664245070226
12,2745,45.75,86.92991811611822,107.53918883291696,91.68009642877658,169.61506501847967,1751.86,740.4915909897496,29.197666666666667,12.341526516495826
13,365,6.083333333333333,12.143236897456067,42.247402598741054,-26.520990533217933,103.8747307558722,124.82,111.67531106758027,2.0803333333333334,1.8612551844596712
14,700,11.666666666666666,17.711396438951255,36.4853606178899,-19.556409353996294,172.61887016351605,309.2,159.05178209550218,5.153333333333333,2.650863034925036
15,1888,31.466666666666665,80.83834807240727,86.89785721258106,124.59500775910816,182.80730485425826,1251.42,242.41700368057803,20.857,4.0402833946763
16,1628,27.133333333333333,36.726529291800766,75.60852368869291,39.869081686751045,178.49724456000587,888.56,477.47260462068954,14.809333333333333,7.957876743678159
17,4686,78.1,84.4056020772097,107.0595863781299,103.11554751015306,195.54753368832417,3564.74,694.8989593267999,59.412333333333336,11.58164932211333
18,813,13.55,46.99953025018258,52.32424313907237,26.42124339761808,151.6495673510064,483.72,237.18536968336966,8.062,3.953089494722828
19,1297,21.616666666666667,62.65864604415453,56.965158541149925,151.1706782580169,168.97470592800178,552.5,308.87222442364117,9.208333333333334,5.147870407060687
