Trial,Step_500,Step_1000
1,-12.231834327611296,73.91423624315698
2,68.16617977172325,93.19397522807145
3,12.971723055151958,18.221564246990457
4,77.29501975909777,31.656759531862164
5,19.02502059105436,44.34846335868749
6,12.534313981727436,-38.99920832241788
7,-41.57683925935946,-113.54464517745097
8,8.851624813972858,-5.7606158294431635
9,-10.735618632622785,-26.478009066109525
10,17.418568248381593,-39.77499365313923
11,29.305284982546677,38.56440035669717
12,15.385854230355946,2.413874602628431
13,51.18366851854395,17.83764836825436
14,22.26694343059988,10.344420137120208
15,44.37172128036238,79.92709722841562
16,32.00289178142279,47.44693716151802
17,49.63643740378042,75.78308578964315
18,18.573776376440094,8.655556654048093
19,9.111039759565443,-4.381836864318885
20,75.03048510331854,66.65223594344602
21,-3.7548378337102877,44.0842140939959
22,-62.85730469022663,15.314865464390717
23,-38.392247967025796,-39.45954787473151
24,-60.13298580755386,-52.42585745181046
25,-37.618498754530854,-56.43616290803286
26,12.026197363313937,28.79548316258821
27,-17.12318750103745,-22.962331092525524
28,22.720999394393193,58.88361849808995
29,-21.36962296712119,-7.761844181186203
30,21.46366438192145,38.220265026893635
31,25.186681261335472,95.72851207474844
32,17.749074867186355,-1.0760245065141802
33,14.634547530767627,70.76448719425603
34,61.35986709291682,11.403243606714863
35,43.91362255749811,51.07694626302482
36,-92.58464021882821,-64.90860584124319
37,26.753088533492758,34.99981546396114
38,15.383817451685356,29.520024758743602
39,-61.091165525705456,-43.46034386620665
40,52.17337542436009,9.452960650174804
41,-22.296892490798516,-8.197245234289177
42,-75.07096613743644,-24.746459956144307
43,11.532597183959794,-1.9028407141651413
44,2.468582193365323,-22.820292061730914
45,-33.8500110888309,-52.93272284732331
46,-20.155207270136025,6.81562410636586
47,-74.81670608920095,-26.838762172189348
48,-9.091268909939789,15.39989521856429
49,26.801576661921658,82.0623792039184
50,-21.070716835489723,3.36870620301278
51,-32.9391267735241,-8.48545490879277
52,-32.0833326843302,12.958449167871162
53,-46.41558305512697,-52.884105621655294
54,-0.04591936682192639,5.900370249600394
55,-8.177283336025154,-10.660520439077693
56,-45.027494060884855,-40.88982556472232
57,-17.28015568754217,4.149337864286433
58,51.34688630501278,33.06517291262998
59,-12.54778826237018,-82.25211641810372
60,-7.753207416225422,-15.80363607356601
61,-5.2259108348498815,-13.504670819489998
62,12.455556745112396,81.84281089869809
63,44.226623130255575,78.48489168727194
64,-27.10819372486366,-21.039489525819114
65,4.232885034052408,39.0730788734988
66,11.02216763406093,-3.5814704245687707
67,-1.0156687710507426,5.350794923508651
68,-33.14380881023095,-6.3486660385471305
69,-13.191977227081649,-32.45613452455507
70,-19.903517996347304,14.08077397949645
71,0.7850505701079271,-25.270620320468254
